,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,zombie,consolidated_dataset/test_00087.png,"{'doctor': 29, 'engineer': 3, 'normal': 38, 'thug': 16, 'imposter': 1, 'pessimist': 13}",doctor,skip,720,0,0
1,healthy,consolidated_dataset/test_00171.png,"{'doctor': 1, 'engineer': 3, 'normal': 48, 'thug': 9, 'imposter': 8, 'pessimist': 29}",pessimist,save,700,0,0
2,healthy,consolidated_dataset/test_00132.png,"{'doctor': 1, 'engineer': 0, 'normal': 72, 'thug': 0, 'imposter': 2, 'pessimist': 25}",normal,save,670,1,0
3,healthy,consolidated_dataset/test_00124.png,"{'doctor': 3, 'engineer': 6, 'normal': 60, 'thug': 3, 'imposter': 16, 'pessimist': 11}",imposter,skip,640,2,0
4,zombie,consolidated_dataset/test_00168.png,"{'doctor': 0, 'engineer': 0, 'normal': 97, 'thug': 1, 'imposter': 0, 'pessimist': 2}",normal,squish,620,2,0
5,zombie,consolidated_dataset/test_00033.png,"{'doctor': 3, 'engineer': 0, 'normal': 50, 'thug': 5, 'imposter': 14, 'pessimist': 27}",pessimist,save,605,2,0
6,zombie,consolidated_dataset/test_00133.png,"{'doctor': 28, 'engineer': 1, 'normal': 46, 'thug': 8, 'imposter': 1, 'pessimist': 17}",normal,save,575,3,0
7,zombie,consolidated_dataset/test_00105.png,"{'doctor': 23, 'engineer': 6, 'normal': 0, 'thug': 14, 'imposter': 35, 'pessimist': 21}",doctor,scram,545,4,0
8,healthy,consolidated_dataset/test_00191.png,"{'doctor': 14, 'engineer': 13, 'normal': 30, 'thug': 28, 'imposter': 3, 'pessimist': 11}",pessimist,save,495,0,0
9,healthy,consolidated_dataset/test_00062.png,"{'doctor': 15, 'engineer': 42, 'normal': 1, 'thug': 37, 'imposter': 3, 'pessimist': 1}",thug,reveal,465,1,0
10,zombie,consolidated_dataset/test_00152.png,"{'doctor': 0, 'engineer': 32, 'normal': 4, 'thug': 4, 'imposter': 52, 'pessimist': 7}",engineer,scram,435,1,0
11,healthy,consolidated_dataset/test_00064.png,"{'doctor': 71, 'engineer': 2, 'normal': 18, 'thug': 8, 'imposter': 0, 'pessimist': 0}",doctor,save,385,0,0
12,healthy,consolidated_dataset/test_00185.png,"{'doctor': 1, 'engineer': 3, 'normal': 43, 'thug': 6, 'imposter': 39, 'pessimist': 8}",thug,skip,355,1,0
13,zombie,consolidated_dataset/test_00164.png,"{'doctor': 6, 'engineer': 6, 'normal': 5, 'thug': 1, 'imposter': 40, 'pessimist': 42}",engineer,skip,335,1,0
14,healthy,consolidated_dataset/test_00015.png,"{'doctor': 7, 'engineer': 3, 'normal': 19, 'thug': 2, 'imposter': 68, 'pessimist': 2}",imposter,scram,315,1,0
15,zombie,consolidated_dataset/test_00116.png,"{'doctor': 10, 'engineer': 2, 'normal': 27, 'thug': 1, 'imposter': 10, 'pessimist': 50}",normal,save,265,0,0
16,healthy,consolidated_dataset/test_00147.png,"{'doctor': 4, 'engineer': 6, 'normal': 2, 'thug': 8, 'imposter': 14, 'pessimist': 66}",pessimist,save,235,1,0
17,healthy,consolidated_dataset/test_00176.png,"{'doctor': 16, 'engineer': 0, 'normal': 38, 'thug': 23, 'imposter': 18, 'pessimist': 5}",normal,scram,205,2,0
18,zombie,consolidated_dataset/test_00074.png,"{'doctor': 35, 'engineer': 1, 'normal': 48, 'thug': 6, 'imposter': 3, 'pessimist': 7}",normal,save,155,0,0
19,healthy,consolidated_dataset/test_00078.png,"{'doctor': 3, 'engineer': 4, 'normal': 53, 'thug': 12, 'imposter': 27, 'pessimist': 1}",normal,scram,125,1,0
20,zombie,consolidated_dataset/test_00034.png,"{'doctor': 1, 'engineer': 1, 'normal': 30, 'thug': 43, 'imposter': 18, 'pessimist': 6}",thug,skip,75,0,0
21,healthy,consolidated_dataset/test_00081.png,"{'doctor': 1, 'engineer': 1, 'normal': 1, 'thug': 4, 'imposter': 1, 'pessimist': 92}",pessimist,save,55,0,0
22,zombie,consolidated_dataset/test_00175.png,"{'doctor': 9, 'engineer': 5, 'normal': 34, 'thug': 1, 'imposter': 41, 'pessimist': 10}",doctor,scram,25,1,0
Killed: 0 Saved: 10
