,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00115.png,"{'doctor': 1, 'engineer': 3, 'normal': 7, 'thug': 87, 'imposter': 1, 'pessimist': 2}",thug,skip,720.0,0,0
1,healthy,consolidated_dataset/test_00126.png,"{'doctor': 9, 'engineer': 21, 'normal': 10, 'thug': 11, 'imposter': 2, 'pessimist': 47}",pessimist,save,700.0,0,0
2,zombie,consolidated_dataset/test_00170.png,"{'doctor': 3, 'engineer': 4, 'normal': 40, 'thug': 27, 'imposter': 10, 'pessimist': 16}",imposter,squish,670.0,1,0
3,healthy,consolidated_dataset/test_00003.png,"{'doctor': 3, 'engineer': 6, 'normal': 1, 'thug': 76, 'imposter': 13, 'pessimist': 2}",thug,skip,655.0,1,0
4,zombie,consolidated_dataset/test_00091.png,"{'doctor': 77, 'engineer': 3, 'normal': 12, 'thug': 4, 'imposter': 2, 'pessimist': 1}",normal,squish,635.0,1,0
5,zombie,consolidated_dataset/test_00095.png,"{'doctor': 0, 'engineer': 0, 'normal': 20, 'thug': 76, 'imposter': 2, 'pessimist': 2}",thug,squish,620.0,1,0
6,zombie,consolidated_dataset/test_00077.png,"{'doctor': 95, 'engineer': 0, 'normal': 2, 'thug': 0, 'imposter': 0, 'pessimist': 3}",doctor,skip,605.0,1,0
7,healthy,consolidated_dataset/test_00154.png,"{'doctor': 0, 'engineer': 15, 'normal': 1, 'thug': 12, 'imposter': 13, 'pessimist': 58}",engineer,save,585.0,1,0
8,zombie,consolidated_dataset/test_00060.png,"{'doctor': 11, 'engineer': 2, 'normal': 38, 'thug': 35, 'imposter': 9, 'pessimist': 6}",thug,squish,555.0,2,0
9,zombie,consolidated_dataset/test_00031.png,"{'doctor': 2, 'engineer': 5, 'normal': 13, 'thug': 9, 'imposter': 7, 'pessimist': 65}",normal,save,540.0,2,0
10,zombie,consolidated_dataset/test_00076.png,"{'doctor': 2, 'engineer': 19, 'normal': 54, 'thug': 0, 'imposter': 20, 'pessimist': 5}",pessimist,scram,510.0,3,0
11,zombie,consolidated_dataset/test_00149.png,"{'doctor': 2, 'engineer': 27, 'normal': 46, 'thug': 16, 'imposter': 8, 'pessimist': 1}",thug,squish,532.0,0,0
12,zombie,consolidated_dataset/test_00116.png,"{'doctor': 9, 'engineer': 9, 'normal': 72, 'thug': 4, 'imposter': 1, 'pessimist': 5}",normal,reveal,517.0,0,0
13,healthy,consolidated_dataset/test_00053.png,"{'doctor': 97, 'engineer': 1, 'normal': 0, 'thug': 1, 'imposter': 1, 'pessimist': 0}",doctor,save,487.0,0,0
14,healthy,consolidated_dataset/test_00067.png,"{'doctor': 7, 'engineer': 32, 'normal': 47, 'thug': 5, 'imposter': 8, 'pessimist': 1}",normal,save,457.0,1,0
15,zombie,consolidated_dataset/test_00042.png,"{'doctor': 1, 'engineer': 71, 'normal': 17, 'thug': 6, 'imposter': 5, 'pessimist': 1}",engineer,save,427.0,2,0
16,healthy,consolidated_dataset/test_00096.png,"{'doctor': 3, 'engineer': 8, 'normal': 40, 'thug': 26, 'imposter': 0, 'pessimist': 23}",doctor,reveal,397.0,3,0
17,healthy,consolidated_dataset/test_00098.png,"{'doctor': 14, 'engineer': 10, 'normal': 0, 'thug': 1, 'imposter': 23, 'pessimist': 51}",pessimist,scram,367.0,3,0
18,zombie,consolidated_dataset/test_00197.png,"{'doctor': 1, 'engineer': 10, 'normal': 4, 'thug': 14, 'imposter': 60, 'pessimist': 11}",imposter,scram,437.0,0,0
19,zombie,consolidated_dataset/test_00180.png,"{'doctor': 2, 'engineer': 11, 'normal': 44, 'thug': 13, 'imposter': 3, 'pessimist': 27}",engineer,save,387.0,0,0
20,zombie,consolidated_dataset/test_00049.png,"{'doctor': 0, 'engineer': 5, 'normal': 1, 'thug': 1, 'imposter': 70, 'pessimist': 23}",imposter,scram,357.0,1,0
21,healthy,consolidated_dataset/test_00062.png,"{'doctor': 18, 'engineer': 26, 'normal': 35, 'thug': 2, 'imposter': 2, 'pessimist': 17}",engineer,save,427.0,0,0
22,healthy,consolidated_dataset/test_00040.png,"{'doctor': 2, 'engineer': 4, 'normal': 88, 'thug': 4, 'imposter': 2, 'pessimist': 0}",normal,skip,397.0,1,0
23,zombie,consolidated_dataset/test_00024.png,"{'doctor': 92, 'engineer': 2, 'normal': 3, 'thug': 1, 'imposter': 0, 'pessimist': 2}",normal,scram,377.0,1,0
24,zombie,consolidated_dataset/test_00159.png,"{'doctor': 4, 'engineer': 1, 'normal': 0, 'thug': 78, 'imposter': 2, 'pessimist': 15}",doctor,skip,447.0,0,0
25,healthy,consolidated_dataset/test_00039.png,"{'doctor': 33, 'engineer': 37, 'normal': 6, 'thug': 0, 'imposter': 23, 'pessimist': 1}",doctor,save,427.0,0,0
26,healthy,consolidated_dataset/test_00052.png,"{'doctor': 13, 'engineer': 27, 'normal': 39, 'thug': 3, 'imposter': 2, 'pessimist': 16}",engineer,save,397.0,1,0
27,healthy,consolidated_dataset/test_00083.png,"{'doctor': 4, 'engineer': 51, 'normal': 24, 'thug': 7, 'imposter': 12, 'pessimist': 3}",engineer,save,367.0,2,0
