,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00078.png,"{'doctor': 1, 'engineer': 55, 'normal': 6, 'thug': 15, 'imposter': 13, 'pessimist': 10}",imposter,save,720.0,0,0
1,healthy,consolidated_dataset/test_00100.png,"{'doctor': 1, 'engineer': 98, 'normal': 0, 'thug': 1, 'imposter': 0, 'pessimist': 1}",engineer,save,690.0,1,0
2,healthy,consolidated_dataset/test_00174.png,"{'doctor': 0, 'engineer': 0, 'normal': 96, 'thug': 2, 'imposter': 1, 'pessimist': 0}",normal,save,660.0,2,0
3,healthy,consolidated_dataset/test_00069.png,"{'doctor': 3, 'engineer': 31, 'normal': 0, 'thug': 41, 'imposter': 21, 'pessimist': 3}",engineer,scram,630.0,3,0
4,healthy,consolidated_dataset/test_00139.png,"{'doctor': 26, 'engineer': 4, 'normal': 52, 'thug': 3, 'imposter': 6, 'pessimist': 8}",doctor,save,550.0,0,0
5,zombie,consolidated_dataset/test_00164.png,"{'doctor': 5, 'engineer': 2, 'normal': 8, 'thug': 9, 'imposter': 77, 'pessimist': 0}",imposter,skip,520.0,1,0
6,healthy,consolidated_dataset/test_00132.png,"{'doctor': 2, 'engineer': 29, 'normal': 53, 'thug': 1, 'imposter': 1, 'pessimist': 15}",pessimist,save,500.0,1,0
7,zombie,consolidated_dataset/test_00018.png,"{'doctor': 0, 'engineer': 78, 'normal': 5, 'thug': 2, 'imposter': 2, 'pessimist': 12}",engineer,save,470.0,2,0
8,healthy,consolidated_dataset/test_00186.png,"{'doctor': 0, 'engineer': 5, 'normal': 14, 'thug': 46, 'imposter': 23, 'pessimist': 11}",thug,scram,440.0,3,0
9,healthy,consolidated_dataset/test_00128.png,"{'doctor': 49, 'engineer': 7, 'normal': 17, 'thug': 2, 'imposter': 22, 'pessimist': 3}",doctor,save,462.0,0,0
10,zombie,consolidated_dataset/test_00091.png,"{'doctor': 13, 'engineer': 10, 'normal': 1, 'thug': 3, 'imposter': 39, 'pessimist': 33}",imposter,squish,432.0,1,0
11,healthy,consolidated_dataset/test_00165.png,"{'doctor': 2, 'engineer': 29, 'normal': 42, 'thug': 22, 'imposter': 5, 'pessimist': 0}",thug,reveal,417.0,1,0
12,zombie,consolidated_dataset/test_00074.png,"{'doctor': 0, 'engineer': 22, 'normal': 47, 'thug': 0, 'imposter': 26, 'pessimist': 4}",imposter,skip,387.0,1,0
13,zombie,consolidated_dataset/test_00157.png,"{'doctor': 2, 'engineer': 20, 'normal': 60, 'thug': 6, 'imposter': 2, 'pessimist': 11}",pessimist,scram,367.0,1,0
14,zombie,consolidated_dataset/test_00195.png,"{'doctor': 1, 'engineer': 33, 'normal': 29, 'thug': 5, 'imposter': 7, 'pessimist': 25}",pessimist,save,317.0,0,0
15,healthy,consolidated_dataset/test_00012.png,"{'doctor': 19, 'engineer': 33, 'normal': 6, 'thug': 32, 'imposter': 1, 'pessimist': 9}",normal,save,287.0,1,0
16,healthy,consolidated_dataset/test_00194.png,"{'doctor': 18, 'engineer': 23, 'normal': 29, 'thug': 13, 'imposter': 16, 'pessimist': 1}",thug,scram,257.0,2,0
17,zombie,consolidated_dataset/test_00076.png,"{'doctor': 1, 'engineer': 8, 'normal': 85, 'thug': 3, 'imposter': 2, 'pessimist': 1}",normal,save,207.0,0,0
18,zombie,consolidated_dataset/test_00121.png,"{'doctor': 1, 'engineer': 1, 'normal': 60, 'thug': 13, 'imposter': 2, 'pessimist': 24}",normal,skip,177.0,1,0
19,healthy,consolidated_dataset/test_00026.png,"{'doctor': 77, 'engineer': 2, 'normal': 1, 'thug': 8, 'imposter': 0, 'pessimist': 12}",doctor,save,157.0,1,0
20,zombie,consolidated_dataset/test_00180.png,"{'doctor': 61, 'engineer': 0, 'normal': 6, 'thug': 7, 'imposter': 4, 'pessimist': 21}",doctor,scram,127.0,2,0
21,healthy,consolidated_dataset/test_00150.png,"{'doctor': 10, 'engineer': 1, 'normal': 63, 'thug': 7, 'imposter': 15, 'pessimist': 5}",normal,save,77.0,0,0
22,zombie,consolidated_dataset/test_00145.png,"{'doctor': 3, 'engineer': 66, 'normal': 0, 'thug': 1, 'imposter': 27, 'pessimist': 2}",engineer,scram,47.0,1,0
Killed: 0 Saved: 12
