,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00171.png,"{'doctor': 5, 'engineer': 34, 'normal': 3, 'thug': 32, 'imposter': 24, 'pessimist': 2}",thug,reveal,720,0,0
1,zombie,consolidated_dataset/test_00164.png,"{'doctor': 3, 'engineer': 18, 'normal': 0, 'thug': 72, 'imposter': 0, 'pessimist': 6}",thug,squish,690,0,0
2,healthy,consolidated_dataset/test_00163.png,"{'doctor': 3, 'engineer': 31, 'normal': 13, 'thug': 6, 'imposter': 31, 'pessimist': 16}",imposter,save,675,0,0
3,healthy,consolidated_dataset/test_00010.png,"{'doctor': 37, 'engineer': 43, 'normal': 0, 'thug': 8, 'imposter': 4, 'pessimist': 8}",engineer,save,645,1,0
4,zombie,consolidated_dataset/test_00077.png,"{'doctor': 5, 'engineer': 15, 'normal': 6, 'thug': 47, 'imposter': 2, 'pessimist': 25}",pessimist,squish,615,2,0
5,healthy,consolidated_dataset/test_00000.png,"{'doctor': 3, 'engineer': 33, 'normal': 42, 'thug': 17, 'imposter': 2, 'pessimist': 3}",thug,save,600,2,0
6,zombie,consolidated_dataset/test_00197.png,"{'doctor': 4, 'engineer': 21, 'normal': 60, 'thug': 7, 'imposter': 6, 'pessimist': 1}",normal,scram,570,3,0
7,healthy,consolidated_dataset/test_00109.png,"{'doctor': 2, 'engineer': 17, 'normal': 3, 'thug': 66, 'imposter': 4, 'pessimist': 9}",engineer,skip,490,0,0
8,healthy,consolidated_dataset/test_00160.png,"{'doctor': 9, 'engineer': 16, 'normal': 42, 'thug': 5, 'imposter': 7, 'pessimist': 21}",doctor,save,470,0,0
9,zombie,consolidated_dataset/test_00167.png,"{'doctor': 0, 'engineer': 2, 'normal': 91, 'thug': 3, 'imposter': 0, 'pessimist': 4}",normal,save,440,1,0
10,zombie,consolidated_dataset/test_00157.png,"{'doctor': 25, 'engineer': 8, 'normal': 54, 'thug': 1, 'imposter': 5, 'pessimist': 7}",normal,scram,410,2,0
11,healthy,consolidated_dataset/test_00141.png,"{'doctor': 47, 'engineer': 4, 'normal': 7, 'thug': 1, 'imposter': 8, 'pessimist': 34}",pessimist,save,360,0,0
12,zombie,consolidated_dataset/test_00146.png,"{'doctor': 2, 'engineer': 33, 'normal': 5, 'thug': 31, 'imposter': 27, 'pessimist': 2}",engineer,skip,330,1,0
13,zombie,consolidated_dataset/test_00138.png,"{'doctor': 0, 'engineer': 20, 'normal': 70, 'thug': 4, 'imposter': 3, 'pessimist': 2}",normal,save,310,1,0
14,healthy,consolidated_dataset/test_00107.png,"{'doctor': 12, 'engineer': 12, 'normal': 10, 'thug': 30, 'imposter': 26, 'pessimist': 9}",engineer,scram,280,2,0
15,healthy,consolidated_dataset/test_00094.png,"{'doctor': 11, 'engineer': 1, 'normal': 48, 'thug': 25, 'imposter': 5, 'pessimist': 12}",normal,save,230,0,0
16,healthy,consolidated_dataset/test_00135.png,"{'doctor': 10, 'engineer': 2, 'normal': 18, 'thug': 26, 'imposter': 28, 'pessimist': 15}",doctor,reveal,200,1,0
17,zombie,consolidated_dataset/test_00030.png,"{'doctor': 11, 'engineer': 8, 'normal': 35, 'thug': 14, 'imposter': 14, 'pessimist': 18}",imposter,skip,170,1,0
18,healthy,consolidated_dataset/test_00065.png,"{'doctor': 4, 'engineer': 13, 'normal': 42, 'thug': 0, 'imposter': 0, 'pessimist': 40}",pessimist,save,150,1,0
19,zombie,consolidated_dataset/test_00016.png,"{'doctor': 21, 'engineer': 2, 'normal': 5, 'thug': 67, 'imposter': 2, 'pessimist': 3}",doctor,scram,120,2,0
20,healthy,consolidated_dataset/test_00083.png,"{'doctor': 14, 'engineer': 68, 'normal': 4, 'thug': 5, 'imposter': 5, 'pessimist': 3}",engineer,save,70,0,0
21,zombie,consolidated_dataset/test_00004.png,"{'doctor': 6, 'engineer': 2, 'normal': 73, 'thug': 5, 'imposter': 5, 'pessimist': 9}",pessimist,scram,40,1,0
22,zombie,consolidated_dataset/test_00051.png,"{'doctor': 17, 'engineer': 36, 'normal': 37, 'thug': 5, 'imposter': 3, 'pessimist': 2}",doctor,scram,110,0,0
23,zombie,consolidated_dataset/test_00089.png,"{'doctor': 2, 'engineer': 65, 'normal': 9, 'thug': 21, 'imposter': 0, 'pessimist': 3}",engineer,reveal,60,0,0
24,healthy,consolidated_dataset/test_00117.png,"{'doctor': 80, 'engineer': 2, 'normal': 3, 'thug': 10, 'imposter': 5, 'pessimist': 0}",doctor,save,30,0,0
Killed: 0 Saved: 11
