,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00163.png,"{'doctor': 41, 'engineer': 29, 'normal': 9, 'thug': 6, 'imposter': 1, 'pessimist': 15}",engineer,save,720.0,0,0
1,healthy,consolidated_dataset/test_00003.png,"{'doctor': 6, 'engineer': 5, 'normal': 40, 'thug': 38, 'imposter': 6, 'pessimist': 5}",engineer,save,690.0,1,0
2,healthy,consolidated_dataset/test_00125.png,"{'doctor': 2, 'engineer': 2, 'normal': 41, 'thug': 3, 'imposter': 32, 'pessimist': 20}",normal,save,660.0,2,0
3,healthy,consolidated_dataset/test_00017.png,"{'doctor': 3, 'engineer': 10, 'normal': 82, 'thug': 2, 'imposter': 4, 'pessimist': 0}",normal,scram,630.0,3,0
4,zombie,consolidated_dataset/test_00030.png,"{'doctor': 23, 'engineer': 0, 'normal': 45, 'thug': 0, 'imposter': 27, 'pessimist': 4}",imposter,skip,820.0,0,0
5,healthy,consolidated_dataset/test_00154.png,"{'doctor': 48, 'engineer': 1, 'normal': 6, 'thug': 2, 'imposter': 43, 'pessimist': 0}",imposter,skip,800.0,0,0
6,healthy,consolidated_dataset/test_00104.png,"{'doctor': 4, 'engineer': 16, 'normal': 38, 'thug': 23, 'imposter': 15, 'pessimist': 3}",thug,skip,780.0,0,0
7,zombie,consolidated_dataset/test_00074.png,"{'doctor': 1, 'engineer': 0, 'normal': 15, 'thug': 48, 'imposter': 7, 'pessimist': 29}",thug,squish,760.0,0,0
8,healthy,consolidated_dataset/test_00174.png,"{'doctor': 9, 'engineer': 1, 'normal': 69, 'thug': 2, 'imposter': 2, 'pessimist': 18}",normal,save,745.0,0,0
9,zombie,consolidated_dataset/test_00022.png,"{'doctor': 5, 'engineer': 1, 'normal': 63, 'thug': 4, 'imposter': 5, 'pessimist': 22}",normal,reveal,715.0,1,0
10,healthy,consolidated_dataset/test_00158.png,"{'doctor': 9, 'engineer': 19, 'normal': 34, 'thug': 16, 'imposter': 19, 'pessimist': 3}",thug,skip,685.0,1,0
11,healthy,consolidated_dataset/test_00054.png,"{'doctor': 2, 'engineer': 8, 'normal': 6, 'thug': 0, 'imposter': 17, 'pessimist': 67}",pessimist,save,665.0,1,0
12,healthy,consolidated_dataset/test_00015.png,"{'doctor': 15, 'engineer': 1, 'normal': 39, 'thug': 1, 'imposter': 24, 'pessimist': 21}",normal,save,635.0,2,0
13,zombie,consolidated_dataset/test_00007.png,"{'doctor': 5, 'engineer': 1, 'normal': 1, 'thug': 0, 'imposter': 0, 'pessimist': 93}",pessimist,scram,605.0,3,0
14,zombie,consolidated_dataset/test_00170.png,"{'doctor': 13, 'engineer': 9, 'normal': 3, 'thug': 33, 'imposter': 14, 'pessimist': 28}",thug,squish,555.0,0,0
15,zombie,consolidated_dataset/test_00033.png,"{'doctor': 10, 'engineer': 0, 'normal': 72, 'thug': 7, 'imposter': 9, 'pessimist': 1}",normal,squish,540.0,0,0
16,healthy,consolidated_dataset/test_00006.png,"{'doctor': 58, 'engineer': 22, 'normal': 8, 'thug': 1, 'imposter': 10, 'pessimist': 1}",doctor,save,525.0,0,0
17,healthy,consolidated_dataset/test_00124.png,"{'doctor': 24, 'engineer': 1, 'normal': 35, 'thug': 15, 'imposter': 3, 'pessimist': 22}",doctor,save,495.0,1,0
18,healthy,consolidated_dataset/test_00012.png,"{'doctor': 1, 'engineer': 1, 'normal': 46, 'thug': 43, 'imposter': 2, 'pessimist': 7}",thug,scram,465.0,2,0
19,healthy,consolidated_dataset/test_00150.png,"{'doctor': 4, 'engineer': 1, 'normal': 51, 'thug': 32, 'imposter': 9, 'pessimist': 3}",thug,skip,415.0,0,0
20,healthy,consolidated_dataset/test_00067.png,"{'doctor': 6, 'engineer': 36, 'normal': 12, 'thug': 1, 'imposter': 23, 'pessimist': 21}",engineer,save,395.0,0,0
21,healthy,consolidated_dataset/test_00055.png,"{'doctor': 2, 'engineer': 1, 'normal': 69, 'thug': 11, 'imposter': 1, 'pessimist': 16}",normal,reveal,365.0,1,0
22,zombie,consolidated_dataset/test_00049.png,"{'doctor': 6, 'engineer': 11, 'normal': 5, 'thug': 9, 'imposter': 17, 'pessimist': 52}",doctor,skip,335.0,1,0
23,zombie,consolidated_dataset/test_00060.png,"{'doctor': 54, 'engineer': 9, 'normal': 22, 'thug': 2, 'imposter': 4, 'pessimist': 10}",normal,scram,315.0,1,0
24,zombie,consolidated_dataset/test_00072.png,"{'doctor': 5, 'engineer': 2, 'normal': 91, 'thug': 0, 'imposter': 0, 'pessimist': 1}",normal,squish,385.0,0,0
25,zombie,consolidated_dataset/test_00116.png,"{'doctor': 1, 'engineer': 0, 'normal': 11, 'thug': 1, 'imposter': 87, 'pessimist': 0}",imposter,squish,370.0,0,0
26,zombie,consolidated_dataset/test_00156.png,"{'doctor': 1, 'engineer': 0, 'normal': 79, 'thug': 5, 'imposter': 1, 'pessimist': 13}",pessimist,squish,355.0,0,0
27,healthy,consolidated_dataset/test_00057.png,"{'doctor': 0, 'engineer': 3, 'normal': 37, 'thug': 49, 'imposter': 4, 'pessimist': 6}",thug,save,340.0,0,0
28,zombie,consolidated_dataset/test_00032.png,"{'doctor': 50, 'engineer': 4, 'normal': 41, 'thug': 0, 'imposter': 3, 'pessimist': 2}",normal,scram,310.0,1,0
29,zombie,consolidated_dataset/test_00042.png,"{'doctor': 6, 'engineer': 4, 'normal': 49, 'thug': 34, 'imposter': 4, 'pessimist': 3}",doctor,save,260.0,0,0
