,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00125.png,"{'doctor': 0, 'engineer': 54, 'normal': 1, 'thug': 0, 'imposter': 17, 'pessimist': 27}",imposter,save,720,0,0
1,zombie,consolidated_dataset/test_00181.png,"{'doctor': 69, 'engineer': 1, 'normal': 3, 'thug': 2, 'imposter': 3, 'pessimist': 22}",doctor,skip,690,1,0
2,healthy,consolidated_dataset/test_00057.png,"{'doctor': 0, 'engineer': 2, 'normal': 2, 'thug': 95, 'imposter': 0, 'pessimist': 0}",thug,skip,670,1,0
3,healthy,consolidated_dataset/test_00050.png,"{'doctor': 5, 'engineer': 38, 'normal': 42, 'thug': 5, 'imposter': 5, 'pessimist': 4}",engineer,save,650,1,0
4,healthy,consolidated_dataset/test_00028.png,"{'doctor': 1, 'engineer': 34, 'normal': 16, 'thug': 4, 'imposter': 44, 'pessimist': 1}",engineer,skip,620,2,0
5,healthy,consolidated_dataset/test_00023.png,"{'doctor': 22, 'engineer': 49, 'normal': 2, 'thug': 2, 'imposter': 22, 'pessimist': 3}",imposter,save,600,2,0
6,zombie,consolidated_dataset/test_00048.png,"{'doctor': 48, 'engineer': 41, 'normal': 3, 'thug': 0, 'imposter': 0, 'pessimist': 8}",engineer,save,570,3,0
7,zombie,consolidated_dataset/test_00138.png,"{'doctor': 13, 'engineer': 7, 'normal': 37, 'thug': 0, 'imposter': 15, 'pessimist': 27}",doctor,scram,540,4,0
8,zombie,consolidated_dataset/test_00037.png,"{'doctor': 11, 'engineer': 20, 'normal': 19, 'thug': 47, 'imposter': 1, 'pessimist': 2}",normal,save,430,0,0
9,zombie,consolidated_dataset/test_00061.png,"{'doctor': 21, 'engineer': 1, 'normal': 2, 'thug': 9, 'imposter': 62, 'pessimist': 6}",imposter,scram,400,1,0
10,healthy,consolidated_dataset/test_00038.png,"{'doctor': 0, 'engineer': 5, 'normal': 87, 'thug': 0, 'imposter': 3, 'pessimist': 5}",normal,save,350,0,0
11,zombie,consolidated_dataset/test_00022.png,"{'doctor': 0, 'engineer': 0, 'normal': 75, 'thug': 6, 'imposter': 17, 'pessimist': 2}",normal,save,320,1,0
12,zombie,consolidated_dataset/test_00116.png,"{'doctor': 23, 'engineer': 35, 'normal': 8, 'thug': 5, 'imposter': 13, 'pessimist': 16}",engineer,scram,290,2,0
13,zombie,consolidated_dataset/test_00106.png,"{'doctor': 6, 'engineer': 6, 'normal': 1, 'thug': 2, 'imposter': 83, 'pessimist': 2}",imposter,squish,240,0,0
14,zombie,consolidated_dataset/test_00164.png,"{'doctor': 10, 'engineer': 0, 'normal': 34, 'thug': 3, 'imposter': 47, 'pessimist': 6}",doctor,squish,225,0,0
15,zombie,consolidated_dataset/test_00177.png,"{'doctor': 1, 'engineer': 7, 'normal': 1, 'thug': 1, 'imposter': 89, 'pessimist': 1}",imposter,skip,210,0,0
16,healthy,consolidated_dataset/test_00104.png,"{'doctor': 40, 'engineer': 4, 'normal': 9, 'thug': 1, 'imposter': 3, 'pessimist': 42}",pessimist,save,190,0,0
17,zombie,consolidated_dataset/test_00027.png,"{'doctor': 70, 'engineer': 15, 'normal': 0, 'thug': 13, 'imposter': 1, 'pessimist': 0}",engineer,squish,160,1,0
18,healthy,consolidated_dataset/test_00062.png,"{'doctor': 20, 'engineer': 31, 'normal': 14, 'thug': 13, 'imposter': 2, 'pessimist': 20}",pessimist,save,145,1,0
19,zombie,consolidated_dataset/test_00060.png,"{'doctor': 9, 'engineer': 18, 'normal': 37, 'thug': 2, 'imposter': 16, 'pessimist': 18}",normal,skip,115,2,0
20,zombie,consolidated_dataset/test_00051.png,"{'doctor': 8, 'engineer': 1, 'normal': 53, 'thug': 7, 'imposter': 24, 'pessimist': 8}",normal,scram,95,2,0
21,healthy,consolidated_dataset/test_00100.png,"{'doctor': 10, 'engineer': 5, 'normal': 74, 'thug': 4, 'imposter': 4, 'pessimist': 2}",normal,save,45,0,0
22,zombie,consolidated_dataset/test_00168.png,"{'doctor': 44, 'engineer': 22, 'normal': 0, 'thug': 2, 'imposter': 13, 'pessimist': 19}",pessimist,scram,15,1,0
Killed: 0 Saved: 10
