,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,zombie,consolidated_dataset/test_00192.png,"{'doctor': 17, 'engineer': 65, 'normal': 1, 'thug': 3, 'imposter': 7, 'pessimist': 8}",engineer,skip,720,0,0
1,healthy,consolidated_dataset/test_00119.png,"{'doctor': 1, 'engineer': 1, 'normal': 6, 'thug': 4, 'imposter': 2, 'pessimist': 86}",pessimist,save,700,0,0
2,healthy,consolidated_dataset/test_00025.png,"{'doctor': 21, 'engineer': 61, 'normal': 2, 'thug': 7, 'imposter': 6, 'pessimist': 3}",doctor,save,670,1,0
3,healthy,consolidated_dataset/test_00154.png,"{'doctor': 33, 'engineer': 1, 'normal': 23, 'thug': 31, 'imposter': 10, 'pessimist': 2}",normal,save,640,2,0
4,healthy,consolidated_dataset/test_00117.png,"{'doctor': 21, 'engineer': 41, 'normal': 4, 'thug': 15, 'imposter': 8, 'pessimist': 11}",normal,skip,610,3,0
5,healthy,consolidated_dataset/test_00008.png,"{'doctor': 15, 'engineer': 3, 'normal': 30, 'thug': 25, 'imposter': 13, 'pessimist': 14}",doctor,scram,590,3,0
6,healthy,consolidated_dataset/test_00183.png,"{'doctor': 74, 'engineer': 0, 'normal': 12, 'thug': 1, 'imposter': 7, 'pessimist': 5}",doctor,save,540,0,0
7,zombie,consolidated_dataset/test_00024.png,"{'doctor': 23, 'engineer': 8, 'normal': 62, 'thug': 1, 'imposter': 1, 'pessimist': 5}",normal,scram,510,1,0
8,healthy,consolidated_dataset/test_00021.png,"{'doctor': 16, 'engineer': 1, 'normal': 5, 'thug': 16, 'imposter': 58, 'pessimist': 4}",imposter,save,460,0,0
9,zombie,consolidated_dataset/test_00007.png,"{'doctor': 0, 'engineer': 10, 'normal': 36, 'thug': 1, 'imposter': 0, 'pessimist': 53}",normal,skip,430,1,0
10,healthy,consolidated_dataset/test_00118.png,"{'doctor': 23, 'engineer': 10, 'normal': 11, 'thug': 7, 'imposter': 2, 'pessimist': 47}",engineer,reveal,410,1,0
11,zombie,consolidated_dataset/test_00076.png,"{'doctor': 29, 'engineer': 16, 'normal': 38, 'thug': 11, 'imposter': 1, 'pessimist': 5}",engineer,skip,380,1,0
12,zombie,consolidated_dataset/test_00074.png,"{'doctor': 0, 'engineer': 21, 'normal': 5, 'thug': 2, 'imposter': 68, 'pessimist': 3}",imposter,squish,360,1,0
13,zombie,consolidated_dataset/test_00027.png,"{'doctor': 8, 'engineer': 7, 'normal': 2, 'thug': 9, 'imposter': 1, 'pessimist': 73}",doctor,skip,345,1,0
14,healthy,consolidated_dataset/test_00109.png,"{'doctor': 67, 'engineer': 4, 'normal': 15, 'thug': 3, 'imposter': 8, 'pessimist': 3}",doctor,save,325,1,0
15,healthy,consolidated_dataset/test_00136.png,"{'doctor': 26, 'engineer': 42, 'normal': 1, 'thug': 25, 'imposter': 5, 'pessimist': 1}",engineer,save,295,2,0
16,healthy,consolidated_dataset/test_00124.png,"{'doctor': 6, 'engineer': 29, 'normal': 5, 'thug': 17, 'imposter': 43, 'pessimist': 1}",normal,reveal,265,3,0
17,healthy,consolidated_dataset/test_00123.png,"{'doctor': 12, 'engineer': 0, 'normal': 9, 'thug': 32, 'imposter': 6, 'pessimist': 41}",imposter,skip,235,3,0
18,healthy,consolidated_dataset/test_00141.png,"{'doctor': 0, 'engineer': 29, 'normal': 2, 'thug': 2, 'imposter': 3, 'pessimist': 63}",normal,scram,215,3,0
19,zombie,consolidated_dataset/test_00122.png,"{'doctor': 2, 'engineer': 16, 'normal': 14, 'thug': 42, 'imposter': 25, 'pessimist': 2}",imposter,squish,135,0,0
20,zombie,consolidated_dataset/test_00103.png,"{'doctor': 4, 'engineer': 46, 'normal': 29, 'thug': 0, 'imposter': 20, 'pessimist': 0}",engineer,save,120,0,0
21,healthy,consolidated_dataset/test_00169.png,"{'doctor': 5, 'engineer': 6, 'normal': 62, 'thug': 16, 'imposter': 10, 'pessimist': 0}",imposter,scram,90,1,0
22,zombie,consolidated_dataset/test_00097.png,"{'doctor': 1, 'engineer': 1, 'normal': 88, 'thug': 9, 'imposter': 0, 'pessimist': 0}",normal,save,160,0,0
23,zombie,consolidated_dataset/test_00047.png,"{'doctor': 31, 'engineer': 7, 'normal': 10, 'thug': 46, 'imposter': 2, 'pessimist': 4}",thug,skip,130,1,0
24,healthy,consolidated_dataset/test_00064.png,"{'doctor': 50, 'engineer': 0, 'normal': 3, 'thug': 14, 'imposter': 30, 'pessimist': 3}",imposter,scram,110,1,0
25,healthy,consolidated_dataset/test_00189.png,"{'doctor': 1, 'engineer': 1, 'normal': 1, 'thug': 0, 'imposter': 2, 'pessimist': 95}",pessimist,save,60,0,0
26,healthy,consolidated_dataset/test_00185.png,"{'doctor': 2, 'engineer': 1, 'normal': 40, 'thug': 1, 'imposter': 26, 'pessimist': 30}",pessimist,save,30,1,0
Killed: 0 Saved: 11
