,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,zombie,consolidated_dataset/test_00099.png,"{'doctor': 32, 'engineer': 39, 'normal': 5, 'thug': 12, 'imposter': 3, 'pessimist': 9}",engineer,save,720.0,0,0
1,healthy,consolidated_dataset/test_00069.png,"{'doctor': 6, 'engineer': 8, 'normal': 32, 'thug': 45, 'imposter': 10, 'pessimist': 0}",imposter,skip,690.0,1,0
2,zombie,consolidated_dataset/test_00101.png,"{'doctor': 0, 'engineer': 26, 'normal': 8, 'thug': 60, 'imposter': 1, 'pessimist': 6}",engineer,skip,670.0,1,0
3,zombie,consolidated_dataset/test_00051.png,"{'doctor': 2, 'engineer': 22, 'normal': 74, 'thug': 1, 'imposter': 1, 'pessimist': 1}",normal,squish,650.0,1,0
4,zombie,consolidated_dataset/test_00004.png,"{'doctor': 40, 'engineer': 5, 'normal': 7, 'thug': 1, 'imposter': 8, 'pessimist': 39}",pessimist,squish,635.0,1,0
5,zombie,consolidated_dataset/test_00170.png,"{'doctor': 23, 'engineer': 31, 'normal': 0, 'thug': 11, 'imposter': 2, 'pessimist': 33}",engineer,skip,620.0,1,0
6,healthy,consolidated_dataset/test_00165.png,"{'doctor': 11, 'engineer': 9, 'normal': 1, 'thug': 6, 'imposter': 15, 'pessimist': 59}",doctor,save,600.0,1,0
7,zombie,consolidated_dataset/test_00137.png,"{'doctor': 0, 'engineer': 2, 'normal': 2, 'thug': 2, 'imposter': 15, 'pessimist': 77}",pessimist,scram,570.0,2,0
8,zombie,consolidated_dataset/test_00024.png,"{'doctor': 3, 'engineer': 8, 'normal': 43, 'thug': 6, 'imposter': 1, 'pessimist': 40}",normal,skip,640.0,0,0
9,healthy,consolidated_dataset/test_00006.png,"{'doctor': 1, 'engineer': 3, 'normal': 4, 'thug': 4, 'imposter': 6, 'pessimist': 80}",pessimist,save,620.0,0,0
10,healthy,consolidated_dataset/test_00085.png,"{'doctor': 1, 'engineer': 18, 'normal': 54, 'thug': 22, 'imposter': 2, 'pessimist': 2}",engineer,save,590.0,1,0
11,healthy,consolidated_dataset/test_00012.png,"{'doctor': 30, 'engineer': 27, 'normal': 2, 'thug': 3, 'imposter': 4, 'pessimist': 35}",engineer,save,560.0,2,0
12,healthy,consolidated_dataset/test_00111.png,"{'doctor': 11, 'engineer': 5, 'normal': 71, 'thug': 2, 'imposter': 2, 'pessimist': 9}",normal,scram,530.0,3,0
13,zombie,consolidated_dataset/test_00074.png,"{'doctor': 12, 'engineer': 1, 'normal': 64, 'thug': 3, 'imposter': 4, 'pessimist': 17}",pessimist,skip,624.0,0,0
14,healthy,consolidated_dataset/test_00036.png,"{'doctor': 12, 'engineer': 4, 'normal': 57, 'thug': 14, 'imposter': 7, 'pessimist': 6}",normal,save,604.0,0,0
15,healthy,consolidated_dataset/test_00104.png,"{'doctor': 3, 'engineer': 13, 'normal': 42, 'thug': 22, 'imposter': 0, 'pessimist': 20}",thug,skip,574.0,1,0
