,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,zombie,consolidated_dataset/test_00122.png,"{'doctor': 1, 'engineer': 0, 'normal': 1, 'thug': 21, 'imposter': 21, 'pessimist': 56}",pessimist,squish,720,0,0
1,zombie,consolidated_dataset/test_00144.png,"{'doctor': 2, 'engineer': 6, 'normal': 5, 'thug': 2, 'imposter': 3, 'pessimist': 82}",normal,scram,705,0,0
2,zombie,consolidated_dataset/test_00199.png,"{'doctor': 6, 'engineer': 14, 'normal': 18, 'thug': 8, 'imposter': 50, 'pessimist': 4}",imposter,squish,655,0,0
3,healthy,consolidated_dataset/test_00150.png,"{'doctor': 33, 'engineer': 36, 'normal': 4, 'thug': 12, 'imposter': 8, 'pessimist': 9}",engineer,save,640,0,0
4,healthy,consolidated_dataset/test_00067.png,"{'doctor': 1, 'engineer': 60, 'normal': 23, 'thug': 1, 'imposter': 0, 'pessimist': 16}",normal,save,610,1,0
5,healthy,consolidated_dataset/test_00141.png,"{'doctor': 53, 'engineer': 2, 'normal': 3, 'thug': 5, 'imposter': 15, 'pessimist': 22}",doctor,save,580,2,0
6,healthy,consolidated_dataset/test_00019.png,"{'doctor': 3, 'engineer': 2, 'normal': 27, 'thug': 4, 'imposter': 1, 'pessimist': 64}",pessimist,scram,550,3,0
7,healthy,consolidated_dataset/test_00036.png,"{'doctor': 12, 'engineer': 1, 'normal': 43, 'thug': 4, 'imposter': 1, 'pessimist': 39}",normal,save,620,0,0
8,healthy,consolidated_dataset/test_00139.png,"{'doctor': 15, 'engineer': 59, 'normal': 3, 'thug': 15, 'imposter': 0, 'pessimist': 7}",engineer,save,590,1,0
9,healthy,consolidated_dataset/test_00148.png,"{'doctor': 6, 'engineer': 19, 'normal': 26, 'thug': 20, 'imposter': 28, 'pessimist': 0}",imposter,scram,560,2,0
10,healthy,consolidated_dataset/test_00120.png,"{'doctor': 26, 'engineer': 23, 'normal': 32, 'thug': 2, 'imposter': 5, 'pessimist': 12}",normal,save,630,0,0
11,zombie,consolidated_dataset/test_00093.png,"{'doctor': 2, 'engineer': 3, 'normal': 76, 'thug': 6, 'imposter': 12, 'pessimist': 1}",normal,skip,600,1,0
12,healthy,consolidated_dataset/test_00191.png,"{'doctor': 0, 'engineer': 4, 'normal': 7, 'thug': 72, 'imposter': 12, 'pessimist': 5}",thug,skip,580,1,0
13,zombie,consolidated_dataset/test_00101.png,"{'doctor': 50, 'engineer': 33, 'normal': 6, 'thug': 9, 'imposter': 0, 'pessimist': 3}",engineer,save,560,1,0
14,healthy,consolidated_dataset/test_00135.png,"{'doctor': 2, 'engineer': 4, 'normal': 28, 'thug': 65, 'imposter': 0, 'pessimist': 0}",thug,scram,530,2,0
15,zombie,consolidated_dataset/test_00029.png,"{'doctor': 1, 'engineer': 0, 'normal': 23, 'thug': 52, 'imposter': 23, 'pessimist': 1}",normal,skip,600,0,0
16,zombie,consolidated_dataset/test_00152.png,"{'doctor': 0, 'engineer': 5, 'normal': 78, 'thug': 1, 'imposter': 4, 'pessimist': 11}",,squish,580,0,0
