,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00143.png,"{'doctor': 23, 'engineer': 4, 'normal': 66, 'thug': 1, 'imposter': 4, 'pessimist': 2}",normal,skip,720,0,0
1,zombie,consolidated_dataset/test_00170.png,"{'doctor': 3, 'engineer': 1, 'normal': 38, 'thug': 30, 'imposter': 14, 'pessimist': 14}",engineer,skip,700,0,0
2,healthy,consolidated_dataset/test_00063.png,"{'doctor': 6, 'engineer': 2, 'normal': 0, 'thug': 3, 'imposter': 0, 'pessimist': 89}",pessimist,save,680,0,0
3,zombie,consolidated_dataset/test_00051.png,"{'doctor': 12, 'engineer': 20, 'normal': 52, 'thug': 2, 'imposter': 1, 'pessimist': 13}",normal,skip,650,1,0
4,healthy,consolidated_dataset/test_00120.png,"{'doctor': 3, 'engineer': 58, 'normal': 27, 'thug': 3, 'imposter': 2, 'pessimist': 7}",thug,save,630,1,0
5,healthy,consolidated_dataset/test_00025.png,"{'doctor': 17, 'engineer': 12, 'normal': 27, 'thug': 8, 'imposter': 21, 'pessimist': 15}",normal,save,600,2,0
6,healthy,consolidated_dataset/test_00185.png,"{'doctor': 38, 'engineer': 0, 'normal': 41, 'thug': 1, 'imposter': 5, 'pessimist': 15}",doctor,scram,570,3,0
7,healthy,consolidated_dataset/test_00151.png,"{'doctor': 23, 'engineer': 0, 'normal': 53, 'thug': 10, 'imposter': 1, 'pessimist': 12}",doctor,save,520,0,0
8,healthy,consolidated_dataset/test_00006.png,"{'doctor': 1, 'engineer': 14, 'normal': 40, 'thug': 1, 'imposter': 39, 'pessimist': 5}",imposter,save,490,1,0
9,healthy,consolidated_dataset/test_00107.png,"{'doctor': 10, 'engineer': 6, 'normal': 37, 'thug': 29, 'imposter': 0, 'pessimist': 17}",thug,save,460,2,0
10,healthy,consolidated_dataset/test_00028.png,"{'doctor': 16, 'engineer': 1, 'normal': 53, 'thug': 13, 'imposter': 9, 'pessimist': 7}",normal,scram,430,3,0
11,zombie,consolidated_dataset/test_00198.png,"{'doctor': 3, 'engineer': 54, 'normal': 4, 'thug': 29, 'imposter': 5, 'pessimist': 4}",engineer,save,230,0,0
12,healthy,consolidated_dataset/test_00054.png,"{'doctor': 22, 'engineer': 14, 'normal': 9, 'thug': 12, 'imposter': 34, 'pessimist': 9}",thug,reveal,200,1,0
13,zombie,consolidated_dataset/test_00070.png,"{'doctor': 27, 'engineer': 1, 'normal': 22, 'thug': 40, 'imposter': 10, 'pessimist': 0}",thug,squish,170,1,0
14,healthy,consolidated_dataset/test_00139.png,"{'doctor': 40, 'engineer': 10, 'normal': 2, 'thug': 22, 'imposter': 6, 'pessimist': 19}",doctor,save,155,1,0
15,zombie,consolidated_dataset/test_00031.png,"{'doctor': 7, 'engineer': 3, 'normal': 61, 'thug': 11, 'imposter': 6, 'pessimist': 13}",normal,scram,125,2,0
16,zombie,consolidated_dataset/test_00045.png,"{'doctor': 49, 'engineer': 7, 'normal': 36, 'thug': 1, 'imposter': 0, 'pessimist': 7}",normal,save,195,0,0
17,healthy,consolidated_dataset/test_00129.png,"{'doctor': 3, 'engineer': 81, 'normal': 8, 'thug': 2, 'imposter': 1, 'pessimist': 5}",normal,save,165,1,0
18,healthy,consolidated_dataset/test_00118.png,"{'doctor': 38, 'engineer': 8, 'normal': 10, 'thug': 1, 'imposter': 16, 'pessimist': 27}",pessimist,scram,135,2,0
19,healthy,consolidated_dataset/test_00073.png,"{'doctor': 10, 'engineer': 3, 'normal': 12, 'thug': 7, 'imposter': 25, 'pessimist': 43}",pessimist,save,85,0,0
20,healthy,consolidated_dataset/test_00155.png,"{'doctor': 4, 'engineer': 70, 'normal': 5, 'thug': 1, 'imposter': 3, 'pessimist': 18}",pessimist,save,55,1,0
21,zombie,consolidated_dataset/test_00181.png,"{'doctor': 5, 'engineer': 16, 'normal': 38, 'thug': 12, 'imposter': 0, 'pessimist': 29}",thug,scram,25,2,0
Killed: 1 Saved: 11
