,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00085.png,"{'doctor': 95, 'engineer': 0, 'normal': 1, 'thug': 0, 'imposter': 1, 'pessimist': 2}",doctor,save,720.0,0,0
1,healthy,consolidated_dataset/test_00165.png,"{'doctor': 6, 'engineer': 18, 'normal': 28, 'thug': 15, 'imposter': 8, 'pessimist': 25}",engineer,save,690.0,1,0
2,healthy,consolidated_dataset/test_00130.png,"{'doctor': 0, 'engineer': 11, 'normal': 11, 'thug': 13, 'imposter': 5, 'pessimist': 60}",pessimist,save,660.0,2,0
3,zombie,consolidated_dataset/test_00093.png,"{'doctor': 4, 'engineer': 2, 'normal': 26, 'thug': 4, 'imposter': 28, 'pessimist': 37}",pessimist,save,630.0,3,0
4,healthy,consolidated_dataset/test_00134.png,"{'doctor': 31, 'engineer': 1, 'normal': 4, 'thug': 28, 'imposter': 35, 'pessimist': 1}",thug,scram,600.0,4,0
5,healthy,consolidated_dataset/test_00187.png,"{'doctor': 16, 'engineer': 9, 'normal': 43, 'thug': 1, 'imposter': 4, 'pessimist': 27}",normal,save,593.2,0,0
6,zombie,consolidated_dataset/test_00034.png,"{'doctor': 3, 'engineer': 2, 'normal': 91, 'thug': 3, 'imposter': 0, 'pessimist': 1}",normal,squish,563.2,1,0
7,healthy,consolidated_dataset/test_00011.png,"{'doctor': 1, 'engineer': 20, 'normal': 34, 'thug': 16, 'imposter': 25, 'pessimist': 4}",normal,save,548.2,1,0
8,zombie,consolidated_dataset/test_00180.png,"{'doctor': 1, 'engineer': 76, 'normal': 11, 'thug': 4, 'imposter': 0, 'pessimist': 8}",thug,scram,518.2,2,0
9,zombie,consolidated_dataset/test_00192.png,"{'doctor': 1, 'engineer': 51, 'normal': 30, 'thug': 0, 'imposter': 2, 'pessimist': 16}",engineer,save,468.20000000000005,0,0
10,zombie,consolidated_dataset/test_00032.png,"{'doctor': 2, 'engineer': 0, 'normal': 94, 'thug': 3, 'imposter': 0, 'pessimist': 1}",normal,scram,438.20000000000005,1,0
11,zombie,consolidated_dataset/test_00099.png,"{'doctor': 5, 'engineer': 9, 'normal': 67, 'thug': 4, 'imposter': 6, 'pessimist': 9}",normal,skip,508.20000000000005,0,0
12,healthy,consolidated_dataset/test_00184.png,"{'doctor': 0, 'engineer': 65, 'normal': 6, 'thug': 20, 'imposter': 5, 'pessimist': 5}",engineer,save,488.20000000000005,0,0
13,healthy,consolidated_dataset/test_00136.png,"{'doctor': 21, 'engineer': 50, 'normal': 8, 'thug': 2, 'imposter': 6, 'pessimist': 14}",engineer,save,458.20000000000005,1,0
14,zombie,consolidated_dataset/test_00164.png,"{'doctor': 11, 'engineer': 8, 'normal': 7, 'thug': 44, 'imposter': 2, 'pessimist': 27}",thug,scram,428.20000000000005,2,0
15,healthy,consolidated_dataset/test_00171.png,"{'doctor': 1, 'engineer': 4, 'normal': 5, 'thug': 12, 'imposter': 73, 'pessimist': 5}",imposter,scram,618.2,0,0
16,healthy,consolidated_dataset/test_00019.png,"{'doctor': 40, 'engineer': 1, 'normal': 47, 'thug': 7, 'imposter': 4, 'pessimist': 2}",normal,save,568.2,0,0
17,healthy,consolidated_dataset/test_00125.png,"{'doctor': 2, 'engineer': 16, 'normal': 4, 'thug': 70, 'imposter': 5, 'pessimist': 4}",thug,skip,538.2,1,0
18,zombie,consolidated_dataset/test_00161.png,"{'doctor': 44, 'engineer': 9, 'normal': 9, 'thug': 7, 'imposter': 4, 'pessimist': 28}",pessimist,scram,518.2,1,0
19,healthy,consolidated_dataset/test_00039.png,"{'doctor': 6, 'engineer': 35, 'normal': 2, 'thug': 4, 'imposter': 22, 'pessimist': 31}",engineer,save,468.20000000000005,0,0
20,zombie,consolidated_dataset/test_00105.png,"{'doctor': 11, 'engineer': 2, 'normal': 58, 'thug': 3, 'imposter': 21, 'pessimist': 4}",doctor,skip,438.20000000000005,1,0
21,zombie,consolidated_dataset/test_00168.png,"{'doctor': 26, 'engineer': 6, 'normal': 56, 'thug': 4, 'imposter': 6, 'pessimist': 2}",imposter,scram,418.20000000000005,1,0
22,zombie,consolidated_dataset/test_00076.png,"{'doctor': 10, 'engineer': 3, 'normal': 14, 'thug': 10, 'imposter': 48, 'pessimist': 15}",imposter,skip,488.20000000000005,0,0
23,zombie,consolidated_dataset/test_00175.png,"{'doctor': 34, 'engineer': 10, 'normal': 31, 'thug': 4, 'imposter': 3, 'pessimist': 18}",normal,skip,468.20000000000005,0,0
24,healthy,consolidated_dataset/test_00151.png,"{'doctor': 14, 'engineer': 0, 'normal': 68, 'thug': 16, 'imposter': 1, 'pessimist': 1}",normal,save,448.20000000000005,0,0
25,zombie,consolidated_dataset/test_00112.png,"{'doctor': 1, 'engineer': 5, 'normal': 87, 'thug': 0, 'imposter': 6, 'pessimist': 1}",normal,scram,418.20000000000005,1,0
26,healthy,consolidated_dataset/test_00139.png,"{'doctor': 0, 'engineer': 68, 'normal': 10, 'thug': 6, 'imposter': 15, 'pessimist': 1}",engineer,save,368.20000000000005,0,0
27,healthy,consolidated_dataset/test_00064.png,"{'doctor': 1, 'engineer': 62, 'normal': 7, 'thug': 9, 'imposter': 0, 'pessimist': 21}",engineer,save,338.20000000000005,1,0
28,zombie,consolidated_dataset/test_00166.png,"{'doctor': 2, 'engineer': 9, 'normal': 76, 'thug': 1, 'imposter': 7, 'pessimist': 5}",engineer,save,308.20000000000005,2,0
29,healthy,consolidated_dataset/test_00094.png,"{'doctor': 2, 'engineer': 43, 'normal': 3, 'thug': 19, 'imposter': 29, 'pessimist': 5}",engineer,save,278.20000000000005,3,0
30,zombie,consolidated_dataset/test_00044.png,"{'doctor': 19, 'engineer': 1, 'normal': 59, 'thug': 3, 'imposter': 1, 'pessimist': 16}",normal,scram,248.20000000000005,4,0
31,healthy,consolidated_dataset/test_00123.png,"{'doctor': 56, 'engineer': 17, 'normal': 2, 'thug': 1, 'imposter': 9, 'pessimist': 15}",doctor,save,198.20000000000005,0,0
32,zombie,consolidated_dataset/test_00018.png,"{'doctor': 56, 'engineer': 1, 'normal': 1, 'thug': 15, 'imposter': 0, 'pessimist': 27}",pessimist,skip,168.20000000000005,1,0
33,healthy,consolidated_dataset/test_00040.png,"{'doctor': 1, 'engineer': 23, 'normal': 54, 'thug': 21, 'imposter': 1, 'pessimist': 0}",normal,save,148.20000000000005,1,0
34,zombie,consolidated_dataset/test_00198.png,"{'doctor': 0, 'engineer': 1, 'normal': 96, 'thug': 1, 'imposter': 2, 'pessimist': 0}",normal,scram,118.20000000000005,2,0
35,healthy,consolidated_dataset/test_00158.png,"{'doctor': 2, 'engineer': 11, 'normal': 1, 'thug': 0, 'imposter': 84, 'pessimist': 1}",imposter,skip,68.20000000000005,0,0
36,healthy,consolidated_dataset/test_00000.png,"{'doctor': 8, 'engineer': 1, 'normal': 73, 'thug': 6, 'imposter': 1, 'pessimist': 11}",normal,save,48.200000000000045,0,0
37,healthy,consolidated_dataset/test_00035.png,"{'doctor': 8, 'engineer': 2, 'normal': 4, 'thug': 11, 'imposter': 65, 'pessimist': 9}",imposter,save,18.200000000000045,1,0
Killed: 3 Saved: 16
