,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00001.png,"{'doctor': 15, 'engineer': 9, 'normal': 1, 'thug': 1, 'imposter': 1, 'pessimist': 73}",engineer,save,720.0,0,0
1,healthy,consolidated_dataset/test_00038.png,"{'doctor': 10, 'engineer': 3, 'normal': 54, 'thug': 10, 'imposter': 5, 'pessimist': 19}",normal,save,690.0,1,0
2,zombie,consolidated_dataset/test_00030.png,"{'doctor': 2, 'engineer': 18, 'normal': 1, 'thug': 34, 'imposter': 38, 'pessimist': 8}",imposter,scram,660.0,2,0
3,healthy,consolidated_dataset/test_00109.png,"{'doctor': 1, 'engineer': 3, 'normal': 51, 'thug': 32, 'imposter': 11, 'pessimist': 2}",normal,save,730.0,0,0
4,healthy,consolidated_dataset/test_00119.png,"{'doctor': 15, 'engineer': 16, 'normal': 47, 'thug': 2, 'imposter': 2, 'pessimist': 18}",normal,save,700.0,1,0
5,zombie,consolidated_dataset/test_00018.png,"{'doctor': 3, 'engineer': 10, 'normal': 20, 'thug': 12, 'imposter': 45, 'pessimist': 9}",imposter,squish,670.0,2,0
6,healthy,consolidated_dataset/test_00023.png,"{'doctor': 2, 'engineer': 16, 'normal': 41, 'thug': 1, 'imposter': 15, 'pessimist': 26}",normal,save,655.0,2,0
7,zombie,consolidated_dataset/test_00061.png,"{'doctor': 97, 'engineer': 0, 'normal': 1, 'thug': 1, 'imposter': 0, 'pessimist': 1}",doctor,scram,625.0,3,0
8,healthy,consolidated_dataset/test_00062.png,"{'doctor': 1, 'engineer': 42, 'normal': 38, 'thug': 2, 'imposter': 15, 'pessimist': 1}",normal,skip,575.0,0,0
9,zombie,consolidated_dataset/test_00047.png,"{'doctor': 7, 'engineer': 11, 'normal': 56, 'thug': 7, 'imposter': 15, 'pessimist': 5}",engineer,save,555.0,0,0
10,zombie,consolidated_dataset/test_00044.png,"{'doctor': 3, 'engineer': 27, 'normal': 37, 'thug': 3, 'imposter': 27, 'pessimist': 2}",doctor,scram,525.0,1,0
11,healthy,consolidated_dataset/test_00052.png,"{'doctor': 21, 'engineer': 6, 'normal': 41, 'thug': 1, 'imposter': 26, 'pessimist': 6}",normal,save,475.0,0,0
12,zombie,consolidated_dataset/test_00149.png,"{'doctor': 53, 'engineer': 31, 'normal': 5, 'thug': 2, 'imposter': 7, 'pessimist': 2}",engineer,save,445.0,1,0
13,healthy,consolidated_dataset/test_00041.png,"{'doctor': 3, 'engineer': 1, 'normal': 6, 'thug': 21, 'imposter': 9, 'pessimist': 60}",thug,scram,415.0,2,0
14,healthy,consolidated_dataset/test_00063.png,"{'doctor': 19, 'engineer': 13, 'normal': 1, 'thug': 20, 'imposter': 22, 'pessimist': 25}",pessimist,save,365.0,0,0
15,healthy,consolidated_dataset/test_00059.png,"{'doctor': 56, 'engineer': 5, 'normal': 21, 'thug': 6, 'imposter': 9, 'pessimist': 4}",doctor,save,335.0,1,0
16,healthy,consolidated_dataset/test_00064.png,"{'doctor': 29, 'engineer': 53, 'normal': 1, 'thug': 3, 'imposter': 12, 'pessimist': 3}",engineer,save,305.0,2,0
17,healthy,consolidated_dataset/test_00131.png,"{'doctor': 0, 'engineer': 4, 'normal': 2, 'thug': 7, 'imposter': 34, 'pessimist': 52}",pessimist,scram,275.0,3,0
18,zombie,consolidated_dataset/test_00088.png,"{'doctor': 13, 'engineer': 11, 'normal': 3, 'thug': 45, 'imposter': 1, 'pessimist': 27}",thug,scram,297.0,0,0
19,healthy,consolidated_dataset/test_00178.png,"{'doctor': 31, 'engineer': 27, 'normal': 5, 'thug': 5, 'imposter': 22, 'pessimist': 10}",imposter,skip,247.0,0,0
20,healthy,consolidated_dataset/test_00102.png,"{'doctor': 5, 'engineer': 11, 'normal': 44, 'thug': 14, 'imposter': 8, 'pessimist': 18}",pessimist,save,227.0,0,0
21,zombie,consolidated_dataset/test_00173.png,"{'doctor': 1, 'engineer': 15, 'normal': 20, 'thug': 46, 'imposter': 18, 'pessimist': 1}",normal,scram,197.0,1,0
22,healthy,consolidated_dataset/test_00008.png,"{'doctor': 2, 'engineer': 83, 'normal': 1, 'thug': 2, 'imposter': 11, 'pessimist': 0}",engineer,save,147.0,0,0
23,zombie,consolidated_dataset/test_00048.png,"{'doctor': 2, 'engineer': 1, 'normal': 37, 'thug': 0, 'imposter': 36, 'pessimist': 24}",normal,squish,117.0,1,0
24,zombie,consolidated_dataset/test_00157.png,"{'doctor': 0, 'engineer': 33, 'normal': 4, 'thug': 34, 'imposter': 6, 'pessimist': 23}",thug,squish,102.0,1,0
25,healthy,consolidated_dataset/test_00011.png,"{'doctor': 64, 'engineer': 12, 'normal': 16, 'thug': 0, 'imposter': 0, 'pessimist': 8}",doctor,save,87.0,1,0
26,healthy,consolidated_dataset/test_00073.png,"{'doctor': 0, 'engineer': 95, 'normal': 1, 'thug': 0, 'imposter': 2, 'pessimist': 0}",engineer,save,57.0,2,0
27,healthy,consolidated_dataset/test_00172.png,"{'doctor': 0, 'engineer': 1, 'normal': 72, 'thug': 1, 'imposter': 13, 'pessimist': 14}",normal,save,27.0,3,0
Killed: 1 Saved: 13
