,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00104.png,"{'doctor': 0, 'engineer': 69, 'normal': 3, 'thug': 3, 'imposter': 8, 'pessimist': 17}",imposter,skip,720.0,0,0
1,healthy,consolidated_dataset/test_00008.png,"{'doctor': 4, 'engineer': 62, 'normal': 26, 'thug': 4, 'imposter': 3, 'pessimist': 1}",engineer,save,700.0,0,0
2,zombie,consolidated_dataset/test_00029.png,"{'doctor': 13, 'engineer': 16, 'normal': 11, 'thug': 54, 'imposter': 4, 'pessimist': 2}",thug,squish,670.0,1,0
3,healthy,consolidated_dataset/test_00069.png,"{'doctor': 68, 'engineer': 8, 'normal': 1, 'thug': 17, 'imposter': 5, 'pessimist': 2}",imposter,skip,655.0,1,0
4,healthy,consolidated_dataset/test_00151.png,"{'doctor': 2, 'engineer': 10, 'normal': 3, 'thug': 5, 'imposter': 67, 'pessimist': 13}",pessimist,save,635.0,1,0
5,zombie,consolidated_dataset/test_00157.png,"{'doctor': 20, 'engineer': 1, 'normal': 11, 'thug': 10, 'imposter': 25, 'pessimist': 32}",pessimist,scram,605.0,2,0
6,healthy,consolidated_dataset/test_00063.png,"{'doctor': 1, 'engineer': 29, 'normal': 34, 'thug': 15, 'imposter': 15, 'pessimist': 6}",thug,skip,627.0,0,0
7,zombie,consolidated_dataset/test_00048.png,"{'doctor': 32, 'engineer': 3, 'normal': 7, 'thug': 31, 'imposter': 7, 'pessimist': 19}",doctor,save,607.0,0,0
8,zombie,consolidated_dataset/test_00005.png,"{'doctor': 10, 'engineer': 12, 'normal': 36, 'thug': 4, 'imposter': 1, 'pessimist': 37}",normal,skip,577.0,1,0
9,healthy,consolidated_dataset/test_00085.png,"{'doctor': 19, 'engineer': 65, 'normal': 3, 'thug': 0, 'imposter': 8, 'pessimist': 5}",engineer,save,557.0,1,0
10,healthy,consolidated_dataset/test_00010.png,"{'doctor': 5, 'engineer': 4, 'normal': 0, 'thug': 2, 'imposter': 85, 'pessimist': 4}",imposter,scram,527.0,2,0
11,healthy,consolidated_dataset/test_00055.png,"{'doctor': 6, 'engineer': 61, 'normal': 5, 'thug': 22, 'imposter': 6, 'pessimist': 2}",doctor,save,597.0,0,0
12,zombie,consolidated_dataset/test_00024.png,"{'doctor': 1, 'engineer': 18, 'normal': 50, 'thug': 11, 'imposter': 13, 'pessimist': 8}",normal,squish,567.0,1,0
13,zombie,consolidated_dataset/test_00034.png,"{'doctor': 5, 'engineer': 16, 'normal': 39, 'thug': 3, 'imposter': 9, 'pessimist': 28}",normal,squish,552.0,1,0
14,healthy,consolidated_dataset/test_00068.png,"{'doctor': 7, 'engineer': 57, 'normal': 3, 'thug': 3, 'imposter': 14, 'pessimist': 16}",engineer,save,537.0,1,0
15,healthy,consolidated_dataset/test_00064.png,"{'doctor': 1, 'engineer': 0, 'normal': 67, 'thug': 1, 'imposter': 4, 'pessimist': 27}",normal,save,507.0,2,0
16,zombie,consolidated_dataset/test_00146.png,"{'doctor': 1, 'engineer': 69, 'normal': 3, 'thug': 11, 'imposter': 11, 'pessimist': 5}",imposter,scram,477.0,3,0
17,zombie,consolidated_dataset/test_00149.png,"{'doctor': 0, 'engineer': 6, 'normal': 0, 'thug': 92, 'imposter': 0, 'pessimist': 1}",engineer,save,547.0,0,0
18,zombie,consolidated_dataset/test_00122.png,"{'doctor': 51, 'engineer': 15, 'normal': 17, 'thug': 1, 'imposter': 0, 'pessimist': 15}",doctor,squish,517.0,1,0
19,zombie,consolidated_dataset/test_00103.png,"{'doctor': 26, 'engineer': 15, 'normal': 7, 'thug': 43, 'imposter': 8, 'pessimist': 2}",imposter,scram,502.0,1,0
20,zombie,consolidated_dataset/test_00013.png,"{'doctor': 16, 'engineer': 17, 'normal': 31, 'thug': 7, 'imposter': 2, 'pessimist': 27}",normal,skip,572.0,0,0
21,healthy,consolidated_dataset/test_00059.png,"{'doctor': 17, 'engineer': 12, 'normal': 46, 'thug': 0, 'imposter': 5, 'pessimist': 19}",pessimist,save,552.0,0,0
22,healthy,consolidated_dataset/test_00039.png,"{'doctor': 8, 'engineer': 81, 'normal': 9, 'thug': 0, 'imposter': 1, 'pessimist': 1}",engineer,save,522.0,1,0
23,healthy,consolidated_dataset/test_00136.png,"{'doctor': 17, 'engineer': 12, 'normal': 62, 'thug': 3, 'imposter': 3, 'pessimist': 4}",normal,scram,492.0,2,0
24,healthy,consolidated_dataset/test_00038.png,"{'doctor': 2, 'engineer': 1, 'normal': 73, 'thug': 2, 'imposter': 13, 'pessimist': 9}",normal,save,514.0,0,0
25,healthy,consolidated_dataset/test_00165.png,"{'doctor': 27, 'engineer': 41, 'normal': 1, 'thug': 19, 'imposter': 1, 'pessimist': 11}",doctor,save,484.0,1,0
26,healthy,consolidated_dataset/test_00162.png,"{'doctor': 13, 'engineer': 25, 'normal': 2, 'thug': 15, 'imposter': 43, 'pessimist': 2}",thug,save,454.0,2,0
27,zombie,consolidated_dataset/test_00061.png,"{'doctor': 76, 'engineer': 0, 'normal': 6, 'thug': 10, 'imposter': 1, 'pessimist': 7}",doctor,save,424.0,3,0
28,healthy,consolidated_dataset/test_00191.png,"{'doctor': 30, 'engineer': 21, 'normal': 27, 'thug': 2, 'imposter': 11, 'pessimist': 8}",doctor,scram,394.0,4,0
29,zombie,consolidated_dataset/test_00031.png,"{'doctor': 26, 'engineer': 3, 'normal': 39, 'thug': 27, 'imposter': 1, 'pessimist': 5}",doctor,skip,344.0,0,0
30,healthy,consolidated_dataset/test_00109.png,"{'doctor': 0, 'engineer': 0, 'normal': 95, 'thug': 2, 'imposter': 0, 'pessimist': 2}",normal,reveal,324.0,0,0
31,zombie,consolidated_dataset/test_00007.png,"{'doctor': 46, 'engineer': 17, 'normal': 6, 'thug': 7, 'imposter': 3, 'pessimist': 21}",engineer,save,294.0,0,0
32,zombie,consolidated_dataset/test_00177.png,"{'doctor': 13, 'engineer': 9, 'normal': 3, 'thug': 12, 'imposter': 59, 'pessimist': 4}",imposter,scram,264.0,1,0
33,zombie,consolidated_dataset/test_00076.png,"{'doctor': 1, 'engineer': 32, 'normal': 3, 'thug': 1, 'imposter': 37, 'pessimist': 25}",normal,skip,334.0,0,0
34,healthy,consolidated_dataset/test_00174.png,"{'doctor': 1, 'engineer': 0, 'normal': 72, 'thug': 16, 'imposter': 1, 'pessimist': 10}",normal,save,314.0,0,0
35,healthy,consolidated_dataset/test_00117.png,"{'doctor': 31, 'engineer': 1, 'normal': 1, 'thug': 42, 'imposter': 10, 'pessimist': 16}",imposter,skip,284.0,1,0
36,healthy,consolidated_dataset/test_00183.png,"{'doctor': 3, 'engineer': 10, 'normal': 13, 'thug': 3, 'imposter': 67, 'pessimist': 4}",engineer,save,264.0,1,0
37,healthy,consolidated_dataset/test_00015.png,"{'doctor': 45, 'engineer': 19, 'normal': 5, 'thug': 5, 'imposter': 4, 'pessimist': 23}",pessimist,save,234.0,2,0
38,zombie,consolidated_dataset/test_00145.png,"{'doctor': 5, 'engineer': 40, 'normal': 4, 'thug': 7, 'imposter': 42, 'pessimist': 1}",engineer,skip,204.0,3,0
39,healthy,consolidated_dataset/test_00124.png,"{'doctor': 24, 'engineer': 4, 'normal': 40, 'thug': 8, 'imposter': 1, 'pessimist': 23}",normal,skip,184.0,3,0
40,zombie,consolidated_dataset/test_00058.png,"{'doctor': 5, 'engineer': 10, 'normal': 37, 'thug': 19, 'imposter': 19, 'pessimist': 10}",thug,scram,164.0,3,0
41,healthy,consolidated_dataset/test_00169.png,"{'doctor': 81, 'engineer': 0, 'normal': 2, 'thug': 5, 'imposter': 11, 'pessimist': 0}",doctor,save,186.0,0,0
42,zombie,consolidated_dataset/test_00198.png,"{'doctor': 10, 'engineer': 3, 'normal': 16, 'thug': 12, 'imposter': 7, 'pessimist': 53}",pessimist,save,156.0,1,0
43,zombie,consolidated_dataset/test_00042.png,"{'doctor': 22, 'engineer': 1, 'normal': 6, 'thug': 3, 'imposter': 67, 'pessimist': 1}",imposter,scram,126.0,2,0
44,zombie,consolidated_dataset/test_00105.png,"{'doctor': 8, 'engineer': 62, 'normal': 10, 'thug': 2, 'imposter': 7, 'pessimist': 11}",imposter,squish,76.0,0,0
45,healthy,consolidated_dataset/test_00115.png,"{'doctor': 1, 'engineer': 1, 'normal': 6, 'thug': 10, 'imposter': 70, 'pessimist': 12}",imposter,skip,61.0,0,0
46,healthy,consolidated_dataset/test_00073.png,"{'doctor': 12, 'engineer': 3, 'normal': 78, 'thug': 1, 'imposter': 6, 'pessimist': 0}",normal,save,41.0,0,0
47,healthy,consolidated_dataset/test_00153.png,"{'doctor': 7, 'engineer': 2, 'normal': 52, 'thug': 26, 'imposter': 12, 'pessimist': 1}",thug,scram,11.0,1,0
Killed: 1 Saved: 20
