,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00098.png,"{'doctor': 3, 'engineer': 2, 'normal': 82, 'thug': 7, 'imposter': 1, 'pessimist': 5}",normal,save,720,0,0
1,zombie,consolidated_dataset/test_00140.png,"{'doctor': 2, 'engineer': 14, 'normal': 15, 'thug': 58, 'imposter': 10, 'pessimist': 1}",thug,squish,690,1,0
2,healthy,consolidated_dataset/test_00081.png,"{'doctor': 28, 'engineer': 7, 'normal': 19, 'thug': 22, 'imposter': 22, 'pessimist': 2}",imposter,save,675,1,0
3,healthy,consolidated_dataset/test_00057.png,"{'doctor': 15, 'engineer': 29, 'normal': 12, 'thug': 6, 'imposter': 24, 'pessimist': 14}",imposter,save,645,2,0
4,zombie,consolidated_dataset/test_00058.png,"{'doctor': 5, 'engineer': 25, 'normal': 4, 'thug': 1, 'imposter': 0, 'pessimist': 65}",pessimist,scram,615,3,0
5,healthy,consolidated_dataset/test_00118.png,"{'doctor': 2, 'engineer': 5, 'normal': 11, 'thug': 1, 'imposter': 67, 'pessimist': 14}",pessimist,reveal,265,0,0
6,healthy,consolidated_dataset/test_00083.png,"{'doctor': 13, 'engineer': 4, 'normal': 3, 'thug': 71, 'imposter': 9, 'pessimist': 1}",thug,save,235,0,0
7,healthy,consolidated_dataset/test_00139.png,"{'doctor': 1, 'engineer': 58, 'normal': 2, 'thug': 10, 'imposter': 22, 'pessimist': 6}",engineer,save,205,1,0
8,healthy,consolidated_dataset/test_00132.png,"{'doctor': 24, 'engineer': 7, 'normal': 8, 'thug': 0, 'imposter': 61, 'pessimist': 0}",imposter,skip,175,2,0
9,healthy,consolidated_dataset/test_00008.png,"{'doctor': 20, 'engineer': 3, 'normal': 33, 'thug': 3, 'imposter': 13, 'pessimist': 27}",doctor,save,155,2,0
10,healthy,consolidated_dataset/test_00090.png,"{'doctor': 12, 'engineer': 1, 'normal': 54, 'thug': 21, 'imposter': 6, 'pessimist': 6}",thug,scram,125,3,0
11,healthy,consolidated_dataset/test_00109.png,"{'doctor': 4, 'engineer': 2, 'normal': 17, 'thug': 42, 'imposter': 22, 'pessimist': 13}",pessimist,save,195,0,0
12,zombie,consolidated_dataset/test_00113.png,"{'doctor': 15, 'engineer': 1, 'normal': 66, 'thug': 4, 'imposter': 4, 'pessimist': 11}",thug,save,165,1,0
13,healthy,consolidated_dataset/test_00163.png,"{'doctor': 2, 'engineer': 0, 'normal': 32, 'thug': 30, 'imposter': 26, 'pessimist': 10}",imposter,scram,135,2,0
14,zombie,consolidated_dataset/test_00106.png,"{'doctor': 7, 'engineer': 51, 'normal': 3, 'thug': 13, 'imposter': 25, 'pessimist': 1}",thug,skip,85,0,0
15,zombie,consolidated_dataset/test_00179.png,"{'doctor': 1, 'engineer': 1, 'normal': 44, 'thug': 5, 'imposter': 6, 'pessimist': 43}",pessimist,squish,65,0,0
16,zombie,consolidated_dataset/test_00170.png,"{'doctor': 21, 'engineer': 7, 'normal': 49, 'thug': 7, 'imposter': 6, 'pessimist': 10}",pessimist,skip,50,0,0
17,zombie,consolidated_dataset/test_00043.png,"{'doctor': 0, 'engineer': 7, 'normal': 1, 'thug': 87, 'imposter': 2, 'pessimist': 2}",thug,squish,30,0,0
18,zombie,consolidated_dataset/test_00095.png,"{'doctor': 23, 'engineer': 8, 'normal': 6, 'thug': 0, 'imposter': 6, 'pessimist': 57}",pessimist,scram,15,0,0
Killed: 2 Saved: 6
