,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00008.png,"{'doctor': 1, 'engineer': 3, 'normal': 28, 'thug': 27, 'imposter': 14, 'pessimist': 27}",thug,save,720.0,0,0
1,healthy,consolidated_dataset/test_00155.png,"{'doctor': 15, 'engineer': 5, 'normal': 16, 'thug': 22, 'imposter': 23, 'pessimist': 20}",thug,save,690.0,1,0
2,healthy,consolidated_dataset/test_00059.png,"{'doctor': 11, 'engineer': 1, 'normal': 19, 'thug': 45, 'imposter': 9, 'pessimist': 14}",normal,save,660.0,2,0
3,healthy,consolidated_dataset/test_00129.png,"{'doctor': 5, 'engineer': 3, 'normal': 5, 'thug': 15, 'imposter': 62, 'pessimist': 10}",thug,scram,630.0,3,0
4,zombie,consolidated_dataset/test_00116.png,"{'doctor': 9, 'engineer': 3, 'normal': 17, 'thug': 13, 'imposter': 9, 'pessimist': 50}",pessimist,skip,580.0,0,0
5,zombie,consolidated_dataset/test_00014.png,"{'doctor': 10, 'engineer': 18, 'normal': 2, 'thug': 7, 'imposter': 12, 'pessimist': 52}",thug,skip,560.0,0,0
6,zombie,consolidated_dataset/test_00072.png,"{'doctor': 30, 'engineer': 0, 'normal': 55, 'thug': 7, 'imposter': 6, 'pessimist': 1}",doctor,save,540.0,0,0
7,healthy,consolidated_dataset/test_00055.png,"{'doctor': 18, 'engineer': 4, 'normal': 0, 'thug': 36, 'imposter': 36, 'pessimist': 5}",pessimist,scram,510.0,1,0
8,zombie,consolidated_dataset/test_00045.png,"{'doctor': 0, 'engineer': 9, 'normal': 79, 'thug': 2, 'imposter': 9, 'pessimist': 1}",normal,save,460.0,0,0
9,zombie,consolidated_dataset/test_00060.png,"{'doctor': 57, 'engineer': 2, 'normal': 27, 'thug': 9, 'imposter': 0, 'pessimist': 5}",thug,scram,430.0,1,0
10,zombie,consolidated_dataset/test_00156.png,"{'doctor': 11, 'engineer': 4, 'normal': 76, 'thug': 4, 'imposter': 5, 'pessimist': 1}",normal,skip,380.0,0,0
11,zombie,consolidated_dataset/test_00144.png,"{'doctor': 0, 'engineer': 2, 'normal': 0, 'thug': 0, 'imposter': 94, 'pessimist': 4}",imposter,scram,360.0,0,0
12,healthy,consolidated_dataset/test_00062.png,"{'doctor': 15, 'engineer': 21, 'normal': 16, 'thug': 21, 'imposter': 25, 'pessimist': 2}",imposter,save,310.0,0,0
13,zombie,consolidated_dataset/test_00029.png,"{'doctor': 28, 'engineer': 12, 'normal': 2, 'thug': 44, 'imposter': 10, 'pessimist': 5}",doctor,skip,280.0,1,0
14,zombie,consolidated_dataset/test_00037.png,"{'doctor': 1, 'engineer': 4, 'normal': 89, 'thug': 1, 'imposter': 0, 'pessimist': 4}",normal,skip,260.0,1,0
15,healthy,consolidated_dataset/test_00083.png,"{'doctor': 31, 'engineer': 16, 'normal': 11, 'thug': 24, 'imposter': 1, 'pessimist': 17}",pessimist,save,240.0,1,0
16,zombie,consolidated_dataset/test_00170.png,"{'doctor': 17, 'engineer': 0, 'normal': 1, 'thug': 1, 'imposter': 12, 'pessimist': 68}",doctor,scram,210.0,2,0
17,healthy,consolidated_dataset/test_00128.png,"{'doctor': 28, 'engineer': 13, 'normal': 39, 'thug': 14, 'imposter': 5, 'pessimist': 1}",thug,save,70.0,0,0
18,healthy,consolidated_dataset/test_00193.png,"{'doctor': 16, 'engineer': 35, 'normal': 2, 'thug': 7, 'imposter': 5, 'pessimist': 35}",engineer,save,40.0,1,0
19,zombie,consolidated_dataset/test_00099.png,"{'doctor': 19, 'engineer': 8, 'normal': 29, 'thug': 2, 'imposter': 13, 'pessimist': 28}",normal,scram,10.0,2,0
20,healthy,consolidated_dataset/test_00085.png,"{'doctor': 19, 'engineer': 9, 'normal': 1, 'thug': 0, 'imposter': 23, 'pessimist': 47}",pessimist,save,80.0,0,0
21,zombie,consolidated_dataset/test_00027.png,"{'doctor': 7, 'engineer': 10, 'normal': 6, 'thug': 47, 'imposter': 15, 'pessimist': 15}",thug,scram,50.0,1,0
Killed: 1 Saved: 9
