,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00075.png,"{'doctor': 3, 'engineer': 15, 'normal': 56, 'thug': 18, 'imposter': 7, 'pessimist': 1}",normal,save,720,0,0
1,healthy,consolidated_dataset/test_00083.png,"{'doctor': 3, 'engineer': 19, 'normal': 54, 'thug': 21, 'imposter': 2, 'pessimist': 1}",normal,save,690,1,0
2,healthy,consolidated_dataset/test_00021.png,"{'doctor': 7, 'engineer': 2, 'normal': 5, 'thug': 0, 'imposter': 4, 'pessimist': 82}",normal,save,660,2,0
3,zombie,consolidated_dataset/test_00004.png,"{'doctor': 7, 'engineer': 55, 'normal': 1, 'thug': 1, 'imposter': 1, 'pessimist': 35}",engineer,save,630,3,0
4,healthy,consolidated_dataset/test_00036.png,"{'doctor': 10, 'engineer': 5, 'normal': 2, 'thug': 60, 'imposter': 9, 'pessimist': 14}",thug,scram,600,4,0
5,zombie,consolidated_dataset/test_00005.png,"{'doctor': 26, 'engineer': 47, 'normal': 7, 'thug': 2, 'imposter': 2, 'pessimist': 16}",doctor,save,670,0,0
6,healthy,consolidated_dataset/test_00010.png,"{'doctor': 2, 'engineer': 5, 'normal': 44, 'thug': 19, 'imposter': 29, 'pessimist': 2}",normal,scram,640,1,0
7,healthy,consolidated_dataset/test_00001.png,"{'doctor': 2, 'engineer': 66, 'normal': 2, 'thug': 15, 'imposter': 3, 'pessimist': 11}",engineer,save,590,0,0
8,zombie,consolidated_dataset/test_00099.png,"{'doctor': 10, 'engineer': 78, 'normal': 2, 'thug': 3, 'imposter': 6, 'pessimist': 1}",engineer,save,560,1,0
9,zombie,consolidated_dataset/test_00051.png,"{'doctor': 6, 'engineer': 76, 'normal': 4, 'thug': 9, 'imposter': 2, 'pessimist': 3}",engineer,scram,530,2,0
10,zombie,consolidated_dataset/test_00032.png,"{'doctor': 19, 'engineer': 39, 'normal': 13, 'thug': 1, 'imposter': 10, 'pessimist': 18}",imposter,skip,720,0,0
11,zombie,consolidated_dataset/test_00167.png,"{'doctor': 1, 'engineer': 3, 'normal': 86, 'thug': 2, 'imposter': 3, 'pessimist': 4}",thug,skip,700,0,0
12,healthy,consolidated_dataset/test_00107.png,"{'doctor': 0, 'engineer': 0, 'normal': 43, 'thug': 22, 'imposter': 28, 'pessimist': 6}",thug,skip,680,0,0
13,healthy,consolidated_dataset/test_00127.png,"{'doctor': 2, 'engineer': 1, 'normal': 7, 'thug': 6, 'imposter': 78, 'pessimist': 7}",imposter,skip,660,0,0
14,zombie,consolidated_dataset/test_00013.png,"{'doctor': 16, 'engineer': 20, 'normal': 46, 'thug': 9, 'imposter': 3, 'pessimist': 6}",doctor,reveal,640,0,0
15,healthy,consolidated_dataset/test_00066.png,"{'doctor': 9, 'engineer': 9, 'normal': 20, 'thug': 13, 'imposter': 3, 'pessimist': 47}",thug,save,610,0,0
16,zombie,consolidated_dataset/test_00086.png,"{'doctor': 2, 'engineer': 3, 'normal': 42, 'thug': 1, 'imposter': 52, 'pessimist': 0}",normal,skip,580,1,0
17,zombie,consolidated_dataset/test_00009.png,"{'doctor': 1, 'engineer': 11, 'normal': 45, 'thug': 33, 'imposter': 1, 'pessimist': 8}",normal,squish,560,1,0
18,healthy,consolidated_dataset/test_00141.png,"{'doctor': 12, 'engineer': 7, 'normal': 0, 'thug': 1, 'imposter': 30, 'pessimist': 50}",pessimist,save,545,1,0
19,healthy,consolidated_dataset/test_00124.png,"{'doctor': 2, 'engineer': 1, 'normal': 6, 'thug': 17, 'imposter': 9, 'pessimist': 65}",pessimist,save,515,2,0
20,healthy,consolidated_dataset/test_00017.png,"{'doctor': 0, 'engineer': 0, 'normal': 90, 'thug': 6, 'imposter': 1, 'pessimist': 3}",normal,save,485,3,0
21,zombie,consolidated_dataset/test_00101.png,"{'doctor': 1, 'engineer': 16, 'normal': 2, 'thug': 78, 'imposter': 1, 'pessimist': 2}",thug,scram,455,4,0
22,zombie,consolidated_dataset/test_00175.png,"{'doctor': 16, 'engineer': 6, 'normal': 25, 'thug': 11, 'imposter': 39, 'pessimist': 3}",pessimist,scram,405,0,0
23,zombie,consolidated_dataset/test_00173.png,"{'doctor': 29, 'engineer': 3, 'normal': 21, 'thug': 8, 'imposter': 27, 'pessimist': 12}",engineer,scram,355,0,0
24,zombie,consolidated_dataset/test_00092.png,"{'doctor': 0, 'engineer': 3, 'normal': 0, 'thug': 3, 'imposter': 82, 'pessimist': 11}",imposter,scram,305,0,0
25,zombie,consolidated_dataset/test_00048.png,"{'doctor': 17, 'engineer': 2, 'normal': 27, 'thug': 22, 'imposter': 30, 'pessimist': 3}",thug,skip,255,0,0
