episode,timestep,reward
6,400,-18.5
13,800,-17.0
19,1200,-17.8333
25,1600,-19.5
32,2000,-20.1429
38,2400,-19.1667
46,2800,-13.625
54,3200,-12.25
61,3600,-11.7143
69,4000,-12.0
77,4400,-10.125
84,4800,-14.0
92,5200,-13.75
100,5600,-10.125
108,6000,-10.625
116,6400,-10.75
124,6800,-9.25
132,7200,-9.875
141,7600,-8.6667
149,8000,-8.625
157,8400,-9.0
165,8800,-8.0
174,9200,-9.0
182,9600,-7.0
192,10000,-6.1
201,10400,-10.0
212,10800,-4.3636
225,11200,-4.2308
237,11600,-3.3333
250,12000,-4.6154
265,12400,-2.4
283,12800,-1.3889
300,13200,-2.1765
319,13600,-1.9474
339,14000,-1.95
360,14400,-1.381
380,14800,-1.6
402,15200,-1.0909
426,15600,-0.875
451,16000,-0.8
477,16400,-0.5
501,16800,-0.875
528,17200,-0.037
557,17600,-0.4483
588,18000,-0.2903
619,18400,-0.0645
652,18800,0.8788
684,19200,1.2188
717,19600,0.0909
749,20000,0.2188
785,20400,0.4722
818,20800,1.0
854,21200,1.0556
888,21600,0.6176
923,22000,0.8571
960,22400,1.3514
994,22800,1.7353
1028,23200,1.3529
1059,23600,1.871
1093,24000,1.7941
1127,24400,1.5588
1161,24800,2.4118
1193,25200,2.625
1228,25600,2.8
1263,26000,2.3429
1298,26400,2.6
1333,26800,2.0857
1368,27200,1.9714
1403,27600,2.1714
1438,28000,2.1429
1474,28400,2.6389
1512,28800,2.4474
1547,29200,3.0857
1582,29600,2.9429
1617,30000,2.7143
1654,30400,3.4324
1688,30800,3.0
1722,31200,3.2059
1757,31600,3.7143
1792,32000,2.7143
1826,32400,3.1765
1862,32800,3.8611
1895,33200,3.3939
1930,33600,2.9143
1963,34000,3.7879
1996,34400,3.5758
2030,34800,3.4412
2063,35200,3.5455
2096,35600,2.9394
2128,36000,3.75
2160,36400,3.2812
2193,36800,3.9091
2226,37200,3.6061
2261,37600,3.5714
2294,38000,3.697
2326,38400,4.6875
2359,38800,4.1212
2391,39200,4.5
2423,39600,3.625
2455,40000,4.3438
2488,40400,3.6667
2521,40800,3.1515
2554,41200,3.8182
2586,41600,3.6875
2620,42000,3.6765
2653,42400,4.3333
2686,42800,3.6667
2719,43200,3.8182
2754,43600,3.8
2787,44000,4.3939
2820,44400,4.4545
2852,44800,4.7812
2886,45200,3.9412
2919,45600,5.0909
2952,46000,3.1212
2985,46400,4.9091
3017,46800,4.1875
3051,47200,3.8824
3084,47600,4.4848
3118,48000,3.7353
3150,48400,3.75
3183,48800,4.2121
3216,49200,3.5758
3249,49600,4.1818
3282,50000,3.6364
3315,50400,2.9091
3348,50800,4.3939
3381,51200,3.7273
3415,51600,3.7059
3448,52000,4.5758
3481,52400,4.1515
3514,52800,4.0606
3547,53200,4.5758
3581,53600,4.0882
3614,54000,3.4242
3647,54400,4.7879
3680,54800,3.9697
3714,55200,4.2647
3748,55600,4.3235
3781,56000,4.5152
3814,56400,3.9697
3847,56800,4.303
3881,57200,4.3235
3915,57600,3.6765
3948,58000,3.8485
3981,58400,4.2424
4015,58800,4.7941
4049,59200,4.2059
4083,59600,4.3824
4116,60000,4.6667
4149,60400,3.4242
4182,60800,4.1515
4216,61200,3.6765
4249,61600,4.4545
4281,62000,4.1562
4312,62400,3.5806
4345,62800,4.3333
4377,63200,4.0312
4411,63600,3.9118
4444,64000,3.9091
4477,64400,3.7273
4509,64800,4.0625
4542,65200,4.1818
4576,65600,3.7353
4609,66000,4.2121
4641,66400,3.75
4674,66800,4.1212
4708,67200,3.9706
4741,67600,4.0303
4775,68000,4.0294
4808,68400,4.1212
4840,68800,4.125
4873,69200,4.8485
4906,69600,4.3333
4940,70000,3.4118
4973,70400,4.1818
5007,70800,3.7647
5039,71200,3.9688
5072,71600,4.303
5105,72000,4.3939
5137,72400,3.875
5170,72800,4.303
5204,73200,4.4706
5237,73600,4.4545
5270,74000,4.4242
5303,74400,4.0909
5337,74800,3.8529
5371,75200,4.0
5404,75600,4.9697
5438,76000,4.0294
5472,76400,4.0294
5506,76800,4.4412
5539,77200,4.8485
5571,77600,4.9688
5604,78000,4.1515
5638,78400,4.2353
5671,78800,3.7576
5704,79200,4.303
5737,79600,4.0909
5771,80000,4.8235
5803,80400,4.2188
5837,80800,4.1471
5870,81200,4.3636
5903,81600,3.4545
5937,82000,4.2059
5970,82400,4.8182
6004,82800,4.1176
6038,83200,5.1176
6071,83600,4.6667
6104,84000,4.4545
6137,84400,4.4545
6170,84800,4.3333
6203,85200,4.4242
6237,85600,4.3529
6271,86000,3.8824
6303,86400,4.1562
6336,86800,4.303
6369,87200,5.2121
6402,87600,5.0303
6434,88000,4.4688
6467,88400,4.2121
6500,88800,3.4848
6532,89200,4.4688
6565,89600,4.3939
6599,90000,4.0588
6632,90400,4.3636
6666,90800,4.4118
6699,91200,3.8788
6733,91600,3.8235
6766,92000,3.6364
6799,92400,3.9394
6831,92800,4.25
6863,93200,4.375
6896,93600,3.697
6929,94000,4.0909
6963,94400,3.7941
6996,94800,3.8485
7028,95200,4.0938
7061,95600,3.4242
7093,96000,4.2188
7127,96400,3.5882
7160,96800,4.4545
7193,97200,3.8182
7226,97600,4.4848
7259,98000,4.8485
7292,98400,4.3636
7325,98800,4.1818
7358,99200,4.2727
7390,99600,4.4375
7423,100000,4.7273
