episode,timestep,reward
3,400,-63.8333
5,800,-58.25
7,1200,-98.75
9,1600,-100.25
11,2000,-101.5
13,2400,-101.75
15,2800,-103.5
17,3200,-102.5
31,3600,-19.25
44,4000,-12.9231
64,4400,-6.1
82,4800,-8.0833
107,5200,-3.32
133,5600,-4.3269
158,6000,-3.98
184,6400,-2.1346
210,6800,0.0192
238,7200,-0.6071
267,7600,-0.931
293,8000,-2.9615
324,8400,-0.4194
353,8800,0.5862
383,9200,0.1667
414,9600,-1.5161
448,10000,1.5882
482,10400,-0.7941
520,10800,1.3158
558,11200,0.5526
598,11600,2.05
638,12000,2.325
677,12400,2.3077
716,12800,1.4872
754,13200,1.7368
791,13600,2.5135
826,14000,2.7714
860,14400,2.3824
897,14800,2.4865
934,15200,2.5405
970,15600,2.7778
1006,16000,2.0556
1042,16400,2.8333
1080,16800,2.8421
1115,17200,2.2571
1150,17600,2.3429
1187,18000,2.2973
1223,18400,2.9722
1260,18800,3.4865
1296,19200,2.7778
1331,19600,3.3714
1367,20000,3.0556
1404,20400,2.8649
1439,20800,2.9143
1473,21200,2.1765
1508,21600,2.8857
1543,22000,4.1143
1578,22400,3.8571
1611,22800,4.0
1645,23200,2.7941
1681,23600,3.3056
1715,24000,3.6176
1749,24400,2.7941
1783,24800,3.8235
1817,25200,2.9706
1851,25600,3.3824
1885,26000,3.7941
1919,26400,3.6176
1953,26800,4.1765
1988,27200,3.3143
2018,27600,3.4333
2050,28000,3.9688
2081,28400,3.7419
2114,28800,4.2727
2146,29200,3.9062
2176,29600,4.5667
2207,30000,3.9032
2238,30400,2.8387
2270,30800,4.5625
2302,31200,3.7812
2334,31600,4.125
2365,32000,4.0
2396,32400,3.9032
2430,32800,3.3235
2462,33200,2.5625
2495,33600,4.2424
2528,34000,3.1515
2561,34400,3.6667
2594,34800,3.9394
2628,35200,3.9412
2660,35600,4.4375
2693,36000,2.9091
2726,36400,3.6061
2759,36800,3.3939
2792,37200,4.3636
2824,37600,4.0938
2857,38000,4.0606
2889,38400,3.625
2921,38800,4.375
2954,39200,3.5758
2987,39600,3.9091
3019,40000,4.0938
3053,40400,4.4412
3085,40800,4.125
3118,41200,4.6364
3151,41600,3.8182
3184,42000,3.8485
3216,42400,3.9375
3249,42800,4.3636
3282,43200,3.5152
3315,43600,3.697
3348,44000,3.8788
3381,44400,4.2121
3414,44800,4.7576
3448,45200,4.8235
3481,45600,3.5758
3514,46000,4.697
3546,46400,4.0938
3579,46800,4.3636
3613,47200,3.7353
3646,47600,4.1818
3679,48000,3.8182
3712,48400,4.0606
3746,48800,4.7647
3779,49200,4.0
3812,49600,4.4545
3845,50000,4.7273
3878,50400,4.0303
3911,50800,3.9091
3944,51200,3.9091
3978,51600,4.1765
4011,52000,3.0303
4044,52400,4.3636
4077,52800,4.1515
4110,53200,3.3939
4144,53600,4.2647
4177,54000,3.7879
4210,54400,4.0303
4244,54800,4.8529
4277,55200,3.4242
4311,55600,4.0882
4345,56000,4.4412
4378,56400,4.0
4411,56800,2.9697
4444,57200,4.1818
4476,57600,4.1875
4509,58000,4.1212
4542,58400,4.1818
4575,58800,4.4545
4607,59200,3.9375
4641,59600,4.2647
4673,60000,4.1562
4706,60400,4.9091
4738,60800,4.0625
4770,61200,4.5312
4802,61600,4.1562
4835,62000,3.7273
4867,62400,3.9375
4900,62800,4.6061
4932,63200,4.3125
4964,63600,4.3438
4996,64000,3.75
5028,64400,4.6875
5059,64800,4.7097
5092,65200,4.3333
5124,65600,3.5312
5156,66000,3.625
5188,66400,4.1875
5220,66800,3.2188
5252,67200,3.7188
5285,67600,4.1515
5318,68000,4.0
5351,68400,4.1212
5384,68800,3.697
5417,69200,4.9394
5450,69600,4.2727
5482,70000,4.4062
5515,70400,4.4242
5549,70800,4.4412
5582,71200,4.5758
5614,71600,4.875
5647,72000,4.2121
5680,72400,3.4545
5713,72800,4.4848
5746,73200,4.6364
5779,73600,4.0
5812,74000,4.2121
